sample,0,1,2,3,4,5,6,7,8,9
SAMPLE 43,-0.3568143,0.21799208,-0.32078436,-0.8462174,-0.9139243,-0.16306224,-0.014357901,-0.09856712,1.0887241,0.0028042197
SAMPLE 44,-0.37830535,0.19749816,-0.20906374,-0.80789244,-0.84884477,-0.07102545,-0.14786881,-0.10717943,1.0614393,-0.0085473815
SAMPLE 45,-0.3714041,0.14002381,-0.2823175,-0.79021126,-0.8107423,-0.21216182,-0.07173028,-0.05964105,1.1749775,0.046579614
SAMPLE 46,-0.3959633,0.20612457,-0.27056453,-0.75787884,-0.765528,-0.17196198,-0.08657144,-0.09260563,1.0389799,0.011161218
SAMPLE 47,-0.37846965,0.18718481,-0.20546448,-0.77701604,-0.85145366,-0.19002025,-0.0607615,-0.07011667,1.1069194,0.025851505
SAMPLE 48,-0.34413886,0.14804226,-0.20189026,-0.7333485,-0.74861836,-0.13079359,-0.15114048,-0.120109044,1.0835818,0.03357302
SAMPLE 49,-0.37988037,0.18635342,-0.27965346,-0.805753,-0.7913464,-0.13240089,-0.12641591,-0.095047735,1.0657977,0.04039547
SAMPLE 50,-0.37688482,0.2054734,-0.25213385,-0.776481,-0.85138154,-0.10209054,-0.04902146,-0.1128869,1.0372217,0.009924881
SAMPLE 51,-0.3646389,0.17865796,-0.29060906,-0.7445514,-0.7549324,-0.11026578,-0.05054725,-0.08821606,0.9546148,-0.019465923
SAMPLE 52,-0.41339856,0.14820267,-0.21085146,-0.75657606,-0.83487827,-0.14955711,-0.09632641,-0.06841203,1.1335514,0.018733
SAMPLE 53,-0.352306,0.19239977,-0.2731057,-0.7293301,-0.8802567,-0.19799215,-0.085790955,-0.09906813,1.0872284,0.016560264
SAMPLE 54,-0.38029426,0.19982624,-0.18137637,-0.78075176,-0.75728405,-0.10568002,-0.11849534,-0.11195766,1.0736716,-0.00028002984
SAMPLE 55,-0.33949798,0.19174793,-0.22318904,-0.7016118,-0.7924156,-0.24233155,-0.025556961,-0.107546054,1.1581155,0.04633441
SAMPLE 56,-0.3441486,0.14670716,-0.23990683,-0.68961614,-0.76421475,-0.12496088,-0.12581086,-0.08794495,1.0538937,0.035129108
SAMPLE 57,0.12113039,0.9085641,0.33457854,0.17396148,-0.1347979,0.5546664,0.5924639,-0.50087667,1.2246062,0.7915496
SAMPLE 58,0.2053397,0.98110294,0.07770886,-0.14070857,0.013480128,0.77376914,0.45973402,-0.60649306,1.1050144,0.6874951
SAMPLE 59,0.14483927,1.0235173,0.07204384,0.030093867,0.0134655805,0.4758807,0.6113691,-0.52634203,1.1082404,0.6060886
SAMPLE 60,0.18359643,0.94089395,0.17633626,0.030205978,-0.15812461,0.5443702,0.62308264,-0.53423506,1.0895973,0.6546667
SAMPLE 61,0.19358204,1.0209348,0.05057622,0.10691038,0.16728625,0.429381,0.5418971,-0.5378548,0.98320866,0.6092712
SAMPLE 62,-0.18112098,0.6186786,0.4603415,-0.18376184,-1.3497258,-0.22291465,0.69326305,-0.3342105,1.1517582,0.011712607
SAMPLE 63,-0.19505827,0.6689296,0.5858227,-0.12191004,-1.3289212,-0.3007616,0.56684417,-0.3286439,1.1494832,-0.014679215
SAMPLE 64,-0.0040369397,0.6922724,0.55906516,0.33621332,-1.0779927,-0.1331237,0.31535593,-0.48009583,0.91483676,-0.12145344
SAMPLE 65,-0.0474325,0.6941504,0.59844387,-0.52615106,-1.1509027,-0.24496667,0.49450412,-0.50396127,1.1499312,-0.1444753
SAMPLE 66,-0.10569737,0.72714996,0.5676433,-0.5392149,-1.146627,-0.17140049,0.5549521,-0.42582417,1.2300098,-0.087821566
SAMPLE 67,-0.11332711,0.7145996,0.6283971,-0.4705735,-1.2528416,-0.24597088,0.5723834,-0.45855877,1.1845448,-0.093286976
SAMPLE 68,-0.07172952,0.6705312,0.42884713,0.043819297,-1.1228814,-0.057788584,0.61088717,-0.5490863,0.9787942,-0.03479255
