sample,cluster,methylation_class
SAMPLE 151,13,"MB, SHH CHL AD"
SAMPLE 152,13,"MB, SHH CHL AD"
SAMPLE 153,1,"MB, SHH INF"
SAMPLE 154,13,"MB, G4"
SAMPLE 155,13,"MB, SHH CHL AD"
SAMPLE 156,13,"MB, WNT"
SAMPLE 157,2,LYMPHO
SAMPLE 158,13,"MB, SHH CHL AD"
SAMPLE 159,13,"MB, G4"
SAMPLE 160,13,"MB, G4"
SAMPLE 161,13,"MB, SHH CHL AD"
SAMPLE 162,13,"MB, SHH CHL AD"
SAMPLE 163,13,"MB, SHH CHL AD"
SAMPLE 164,13,"MB, SHH CHL AD"
SAMPLE 165,13,"MB, G4"
SAMPLE 166,13,"MB, G4"
SAMPLE 167,13,"MB, SHH CHL AD"
SAMPLE 168,13,"MB, SHH CHL AD"
SAMPLE 169,13,"MB, SHH CHL AD"
SAMPLE 170,13,"MB, G4"
SAMPLE 171,13,"MB, G4"
SAMPLE 172,13,"MB, G4"
SAMPLE 173,2,"ATRT, SHH"
SAMPLE 174,2,"ATRT, SHH"
SAMPLE 175,9,ETMR
SAMPLE 176,4,"LGG, PA PF"
SAMPLE 177,4,"LGG, PA MID"
SAMPLE 178,4,"LGG, PA PF"
SAMPLE 179,13,"MB, G4"
SAMPLE 180,13,"MB, G4"
SAMPLE 181,1,"MB, SHH INF"
SAMPLE 182,13,"MB, SHH CHL AD"
SAMPLE 183,13,"MB, SHH CHL AD"
SAMPLE 184,1,"MB, SHH INF"
SAMPLE 185,13,"MB, G4"
SAMPLE 186,13,"MB, G3"
SAMPLE 187,13,"MB, G3"
SAMPLE 188,13,"MB, G4"
SAMPLE 189,13,"MB, G4"
SAMPLE 190,1,"MB, SHH CHL AD"
SAMPLE 191,13,"MB, G4"
SAMPLE 192,13,"MB, G3"
SAMPLE 193,13,"MB, G4"
SAMPLE 194,10,"CNS NB, FOXR2"
SAMPLE 195,9,ETMR
SAMPLE 196,13,"MB, G4"
SAMPLE 197,13,"MB, G4"
SAMPLE 198,13,"MB, G4"
SAMPLE 199,13,"MB, G4"
SAMPLE 200,1,"MB, SHH INF"
SAMPLE 201,13,"MB, G3"
SAMPLE 202,13,"MB, G3"
