sample,cluster,methylation_class
SAMPLE 662,10,"CNS NB, FOXR2"
SAMPLE 663,8,"A IDH, HG"
SAMPLE 664,9,ETMR
SAMPLE 665,10,"CNS NB, FOXR2"
SAMPLE 666,4,"CONTR, REACT"
SAMPLE 667,9,ETMR
SAMPLE 668,9,ETMR
SAMPLE 669,9,ETMR
SAMPLE 670,1,"MB, SHH INF"
SAMPLE 671,13,"MB, G4"
SAMPLE 672,10,"CNS NB, FOXR2"
SAMPLE 673,10,"CNS NB, FOXR2"
SAMPLE 674,10,"CNS NB, FOXR2"
SAMPLE 675,9,ETMR
SAMPLE 676,14,"DMG, K27"
SAMPLE 677,4,"CONTR, HEMI"
SAMPLE 678,4,"CONTR, HEMI"
SAMPLE 679,4,"CONTR, HEMI"
SAMPLE 680,4,"CONTR, HEMI"
SAMPLE 681,4,"CONTR, HEMI"
SAMPLE 682,4,"CONTR, HEMI"
SAMPLE 683,6,MNG
SAMPLE 684,6,MNG
SAMPLE 685,6,MNG
SAMPLE 686,6,MNG
SAMPLE 687,6,MNG
SAMPLE 688,6,MNG
SAMPLE 689,6,MNG
SAMPLE 690,6,MNG
SAMPLE 691,6,MNG
SAMPLE 692,6,MNG
SAMPLE 693,6,MNG
SAMPLE 694,6,MNG
SAMPLE 695,6,MNG
SAMPLE 696,6,MNG
SAMPLE 697,6,MNG
SAMPLE 698,6,MNG
SAMPLE 699,6,MNG
SAMPLE 700,6,MNG
SAMPLE 701,6,MNG
SAMPLE 702,6,MNG
SAMPLE 703,6,MNG
SAMPLE 704,6,MNG
SAMPLE 705,6,MNG
SAMPLE 706,6,MNG
SAMPLE 707,6,MNG
SAMPLE 708,6,MNG
SAMPLE 709,6,MNG
SAMPLE 710,6,MNG
SAMPLE 711,6,MNG
SAMPLE 712,6,MNG
SAMPLE 713,6,MNG
SAMPLE 714,6,MNG
SAMPLE 715,4,"LGG, PA MID"
SAMPLE 716,8,"A IDH, HG"
SAMPLE 717,12,O IDH
SAMPLE 718,12,O IDH
SAMPLE 719,12,O IDH
SAMPLE 720,4,"LGG, MYB"
SAMPLE 721,12,O IDH
SAMPLE 722,4,"LGG, MYB"
SAMPLE 723,4,"LGG, MYB"
SAMPLE 724,4,"LGG, MYB"
SAMPLE 725,4,"LGG, MYB"
SAMPLE 726,4,"LGG, MYB"
SAMPLE 727,4,"LGG, MYB"
SAMPLE 728,4,"LGG, MYB"
SAMPLE 729,4,"LGG, MYB"
SAMPLE 730,4,"LGG, PA MID"
SAMPLE 731,13,"MB, SHH CHL AD"
SAMPLE 732,4,"EPN, MPE"
SAMPLE 733,12,A IDH
SAMPLE 734,12,A IDH
SAMPLE 735,12,A IDH
SAMPLE 736,12,A IDH
SAMPLE 737,12,"A IDH, HG"
SAMPLE 738,12,A IDH
SAMPLE 739,6,MNG
SAMPLE 740,6,MNG
SAMPLE 741,6,MNG
SAMPLE 742,6,MNG
SAMPLE 743,6,MNG
SAMPLE 744,3,"GBM, RTK I"
SAMPLE 745,3,"GBM, RTK II"
SAMPLE 746,11,"EPN, PF A"
SAMPLE 747,11,"EPN, PF A"
SAMPLE 748,11,"EPN, RELA"
SAMPLE 749,13,"MB, SHH CHL AD"
SAMPLE 750,13,"MB, G4"
SAMPLE 751,3,"GBM, RTK II"
SAMPLE 752,11,"HGNET, MN1"
SAMPLE 753,6,"EFT, CIC"
SAMPLE 754,12,"A IDH, HG"
SAMPLE 755,12,A IDH
SAMPLE 756,12,A IDH
SAMPLE 757,4,"LGG, PA/GG ST"
SAMPLE 758,4,"LGG, PA PF"
SAMPLE 759,4,"CONTR, REACT"
SAMPLE 760,4,"CONTR, REACT"
SAMPLE 761,4,"CONTR, REACT"
SAMPLE 762,4,"LGG, PA/GG ST"
SAMPLE 763,12,O IDH
SAMPLE 764,12,O IDH
SAMPLE 765,13,"MB, SHH CHL AD"
SAMPLE 766,2,"ATRT, SHH"
SAMPLE 767,9,ETMR
SAMPLE 768,10,"CNS NB, FOXR2"
SAMPLE 769,13,"MB, SHH CHL AD"
SAMPLE 770,13,"MB, SHH CHL AD"
SAMPLE 771,4,"SUBEPN, ST"
SAMPLE 772,4,"SUBEPN, ST"
SAMPLE 773,4,"LGG, GG"
SAMPLE 774,4,CN
SAMPLE 775,4,"SUBEPN, ST"
SAMPLE 776,4,CN
SAMPLE 777,4,"LGG, SEGA"
SAMPLE 778,4,"LGG, SEGA"
SAMPLE 779,4,CN
SAMPLE 780,4,CN
SAMPLE 781,4,CN
SAMPLE 782,4,CN
SAMPLE 783,4,CN
SAMPLE 784,4,CN
SAMPLE 785,4,"SUBEPN, ST"
SAMPLE 786,4,"SUBEPN, ST"
SAMPLE 787,4,"SUBEPN, ST"
SAMPLE 788,4,"SUBEPN, SPINE"
SAMPLE 789,4,"LGG, SEGA"
SAMPLE 790,4,"LGG, SEGA"
SAMPLE 791,2,LYMPHO
SAMPLE 792,2,LYMPHO
SAMPLE 793,5,"PIN T,  PB B"
SAMPLE 794,2,LYMPHO
SAMPLE 795,3,"GBM, MES"
SAMPLE 796,3,"GBM, RTK I"
SAMPLE 797,3,"GBM, RTK II"
SAMPLE 798,4,PXA
SAMPLE 799,4,PXA
SAMPLE 800,4,PXA
SAMPLE 801,4,PXA
SAMPLE 802,4,PXA
SAMPLE 803,4,PXA
SAMPLE 804,4,PXA
SAMPLE 805,4,"LGG, PA/GG ST"
SAMPLE 806,4,ANA PA
SAMPLE 807,2,LYMPHO
SAMPLE 808,9,ETMR
SAMPLE 809,9,ETMR
SAMPLE 810,9,ETMR
SAMPLE 811,9,ETMR
SAMPLE 812,9,ETMR
SAMPLE 813,9,ETMR
SAMPLE 814,9,ETMR
SAMPLE 815,3,"GBM, MES"
SAMPLE 816,3,"GBM, RTK II"
SAMPLE 817,3,"GBM, RTK II"
SAMPLE 818,3,"GBM, RTK II"
SAMPLE 819,3,"GBM, RTK II"
SAMPLE 820,3,"GBM, RTK II"
SAMPLE 821,3,"GBM, RTK II"
SAMPLE 822,3,"GBM, MES"
SAMPLE 823,3,"GBM, RTK II"
SAMPLE 824,3,"GBM, RTK II"
SAMPLE 825,3,"GBM, RTK II"
SAMPLE 826,3,"GBM, RTK II"
SAMPLE 827,3,"GBM, RTK II"
SAMPLE 828,4,"CONTR, INFLAM"
SAMPLE 829,3,"GBM, RTK II"
SAMPLE 830,3,"GBM, RTK II"
SAMPLE 831,3,"GBM, MES"
SAMPLE 832,3,"GBM, RTK II"
SAMPLE 833,6,"EFT, CIC"
SAMPLE 834,6,"EFT, CIC"
SAMPLE 835,3,"GBM, RTK I"
SAMPLE 836,3,"GBM, RTK II"
SAMPLE 837,3,"GBM, RTK I"
SAMPLE 838,3,"GBM, RTK II"
SAMPLE 839,1,"MB, SHH INF"
SAMPLE 840,3,"GBM, RTK I"
SAMPLE 841,0,"HGNET, MN1"
SAMPLE 842,9,ETMR
SAMPLE 843,3,"GBM, RTK I"
SAMPLE 844,3,"GBM, RTK II"
SAMPLE 845,1,"MB, SHH INF"
SAMPLE 846,9,ETMR
SAMPLE 847,1,"MB, SHH INF"
SAMPLE 848,6,"EFT, CIC"
SAMPLE 849,11,"HGNET, BCOR"
SAMPLE 850,4,"LGG, PA/GG ST"
SAMPLE 851,6,"PTPR, B"
SAMPLE 852,2,LYMPHO
SAMPLE 853,2,LYMPHO
SAMPLE 854,2,LYMPHO
SAMPLE 855,4,"LGG, PA/GG ST"
SAMPLE 856,4,"LGG, PA/GG ST"
SAMPLE 857,5,"PIN T, PPT"
SAMPLE 858,5,"PIN T, PPT"
SAMPLE 859,6,"CPH, ADM"
SAMPLE 860,6,"CPH, ADM"
SAMPLE 861,6,"CPH, PAP"
SAMPLE 862,6,"CPH, PAP"
SAMPLE 863,6,"CPH, ADM"
SAMPLE 864,4,"CONTR, REACT"
SAMPLE 865,9,ETMR
SAMPLE 866,2,"ATRT, MYC"
SAMPLE 867,10,"CNS NB, FOXR2"
SAMPLE 868,6,"EFT, CIC"
SAMPLE 869,4,"LGG, SEGA"
SAMPLE 870,5,"ENB, A"
SAMPLE 871,3,"GBM, RTK II"
SAMPLE 872,12,O IDH
SAMPLE 873,12,A IDH
SAMPLE 874,4,PITUI
SAMPLE 875,12,A IDH
SAMPLE 876,3,"GBM, RTK II"
SAMPLE 877,12,A IDH
SAMPLE 878,5,"CONTR, PINEAL"
SAMPLE 879,4,"EPN, MPE"
SAMPLE 880,4,"PGG, nC"
SAMPLE 881,12,A IDH
SAMPLE 882,8,"A IDH, HG"
SAMPLE 883,12,"A IDH, HG"
SAMPLE 884,4,"EPN, MPE"
SAMPLE 885,3,"GBM, MES"
SAMPLE 886,4,"PGG, nC"
SAMPLE 887,7,"GBM, G34"
SAMPLE 888,12,A IDH
SAMPLE 889,5,"PIN T, PPT"
SAMPLE 890,4,"LGG, PA/GG ST"
SAMPLE 891,5,"PIN T, PPT"
SAMPLE 892,6,"CONTR, PINEAL"
SAMPLE 893,5,"PIN T, PPT"
SAMPLE 894,4,"EPN, MPE"
SAMPLE 895,7,"GBM, G34"
SAMPLE 896,14,"DMG, K27"
SAMPLE 897,8,"A IDH, HG"
SAMPLE 898,11,"HGNET, BCOR"
SAMPLE 899,11,"HGNET, BCOR"
SAMPLE 900,4,"LGG, DNT"
SAMPLE 901,11,"HGNET, BCOR"
SAMPLE 902,4,"LGG, DNT"
SAMPLE 903,4,"LGG, DNT"
SAMPLE 904,4,"LGG, DNT"
SAMPLE 905,4,"LGG, RGNT"
SAMPLE 906,12,A IDH
SAMPLE 907,4,"LGG, DNT"
SAMPLE 908,14,"DMG, K27"
SAMPLE 909,14,"DMG, K27"
SAMPLE 910,14,"DMG, K27"
SAMPLE 911,10,"CNS NB, FOXR2"
SAMPLE 912,10,"CNS NB, FOXR2"
SAMPLE 913,6,"CPH, ADM"
SAMPLE 914,6,"CPH, ADM"
SAMPLE 915,4,CN
SAMPLE 916,4,CN
SAMPLE 917,4,CN
SAMPLE 918,4,CN
SAMPLE 919,4,CN
SAMPLE 920,4,CN
SAMPLE 921,4,CN
SAMPLE 922,4,CN
SAMPLE 923,4,CHGL
SAMPLE 924,4,"LGG, DNT"
SAMPLE 925,2,MELAN
SAMPLE 926,6,"PLEX, AD"
SAMPLE 927,11,"HGNET, MN1"
SAMPLE 928,11,"EPN, PF A"
SAMPLE 929,11,"EPN, PF A"
SAMPLE 930,11,"EPN, PF A"
SAMPLE 931,6,"CPH, ADM"
SAMPLE 932,6,"CPH, ADM"
SAMPLE 933,6,"CPH, ADM"
SAMPLE 934,6,"CPH, PAP"
SAMPLE 935,6,"CPH, PAP"
SAMPLE 936,6,"CPH, ADM"
SAMPLE 937,6,"CPH, ADM"
SAMPLE 938,11,"EPN, RELA"
SAMPLE 939,11,"EPN, RELA"
SAMPLE 940,11,"EPN, RELA"
SAMPLE 941,11,"EPN, RELA"
SAMPLE 942,11,"EPN, RELA"
SAMPLE 943,11,"EPN, RELA"
SAMPLE 944,11,"EPN, RELA"
SAMPLE 945,11,"HGNET, MN1"
SAMPLE 946,11,"EPN, RELA"
SAMPLE 947,11,"EPN, RELA"
SAMPLE 948,11,"EPN, RELA"
SAMPLE 949,11,"EPN, RELA"
SAMPLE 950,11,"EPN, RELA"
SAMPLE 951,11,"EPN, RELA"
SAMPLE 952,11,"EPN, RELA"
SAMPLE 953,11,"EPN, PF A"
SAMPLE 954,11,"EPN, YAP"
SAMPLE 955,11,"EPN, RELA"
SAMPLE 956,11,"EPN, RELA"
SAMPLE 957,11,"EPN, RELA"
SAMPLE 958,11,"EPN, RELA"
SAMPLE 959,11,"EPN, RELA"
SAMPLE 960,11,"EPN, RELA"
SAMPLE 961,4,"LGG, PA/GG ST"
SAMPLE 962,4,"LGG, GG"
SAMPLE 963,11,"EPN, PF A"
SAMPLE 964,11,"EPN, PF A"
SAMPLE 965,11,"EPN, PF A"
SAMPLE 966,11,"EPN, PF A"
SAMPLE 967,11,"EPN, PF A"
SAMPLE 968,11,"EPN, PF A"
SAMPLE 969,11,"EPN, PF A"
SAMPLE 970,11,"EPN, PF A"
SAMPLE 971,6,MNG
SAMPLE 972,11,"EPN, PF A"
SAMPLE 973,14,"DMG, K27"
SAMPLE 974,8,"A IDH, HG"
SAMPLE 975,4,"EPN, MPE"
SAMPLE 976,13,"MB, SHH CHL AD"
SAMPLE 977,13,"MB, SHH CHL AD"
SAMPLE 978,13,"MB, SHH CHL AD"
SAMPLE 979,13,"MB, SHH CHL AD"
SAMPLE 980,11,"HGNET, BCOR"
SAMPLE 981,6,MNG
SAMPLE 982,6,MNG
SAMPLE 983,13,"MB, SHH CHL AD"
SAMPLE 984,13,"MB, SHH CHL AD"
SAMPLE 985,13,"MB, SHH INF"
SAMPLE 986,5,"ENB, B"
SAMPLE 987,5,"ENB, A"
SAMPLE 988,12,"A IDH, HG"
SAMPLE 989,4,"LGG, DNT"
SAMPLE 990,11,"EPN, PF A"
SAMPLE 991,1,LIPN
SAMPLE 992,13,"MB, G4"
SAMPLE 993,6,"CPH, PAP"
SAMPLE 994,4,"EPN, MPE"
SAMPLE 995,6,"CPH, PAP"
SAMPLE 996,6,"CPH, PAP"
SAMPLE 997,4,"EPN, MPE"
SAMPLE 998,4,PITUI
SAMPLE 999,4,SCHW
SAMPLE 1000,11,"EPN, RELA"
SAMPLE 1001,11,"EPN, PF B"
SAMPLE 1002,11,"EPN, PF A"
SAMPLE 1003,11,"EPN, RELA"
SAMPLE 1004,11,"EPN, PF A"
SAMPLE 1005,4,"EPN, YAP"
SAMPLE 1006,11,"EPN, PF A"
SAMPLE 1007,11,"EPN, PF A"
SAMPLE 1008,4,"EPN, PF B"
SAMPLE 1009,11,"EPN, PF A"
SAMPLE 1010,11,"EPN, YAP"
SAMPLE 1011,11,"EPN, PF A"
SAMPLE 1012,11,"EPN, PF A"
SAMPLE 1013,11,"EPN, PF A"
SAMPLE 1014,11,"EPN, PF B"
SAMPLE 1015,11,"EPN, RELA"
SAMPLE 1016,11,"EPN, RELA"
SAMPLE 1017,11,"EPN, PF A"
SAMPLE 1018,11,"EPN, PF A"
SAMPLE 1019,11,"EPN, PF A"
SAMPLE 1020,11,"EPN, PF A"
SAMPLE 1021,11,"EPN, PF A"
SAMPLE 1022,11,"EPN, PF A"
SAMPLE 1023,11,"EPN, PF A"
SAMPLE 1024,11,"EPN, PF A"
SAMPLE 1025,11,"EPN, PF A"
SAMPLE 1026,11,"EPN, PF A"
SAMPLE 1027,11,"EPN, PF A"
SAMPLE 1028,11,"EPN, PF A"
SAMPLE 1029,11,"EPN, PF A"
SAMPLE 1030,11,"EPN, PF A"
SAMPLE 1031,11,"EPN, PF A"
SAMPLE 1032,11,"EPN, PF A"
SAMPLE 1033,11,"EPN, PF A"
SAMPLE 1034,11,"EPN, PF A"
SAMPLE 1035,11,"EPN, PF A"
SAMPLE 1036,11,"EPN, PF A"
SAMPLE 1037,11,"EPN, PF A"
SAMPLE 1038,1,"MB, SHH INF"
SAMPLE 1039,13,"MB, SHH CHL AD"
SAMPLE 1040,2,"ATRT, TYR"
SAMPLE 1041,10,"CNS NB, FOXR2"
SAMPLE 1042,10,"CNS NB, FOXR2"
SAMPLE 1043,11,"GBM, MYCN"
SAMPLE 1044,4,"EPN, MPE"
SAMPLE 1045,4,"EPN, MPE"
SAMPLE 1046,6,"CPH, PAP"
SAMPLE 1047,6,"CPH, PAP"
SAMPLE 1048,4,SCHW
SAMPLE 1049,4,"EPN, MPE"
SAMPLE 1050,6,"CPH, PAP"
SAMPLE 1051,4,"EPN, SPINE"
SAMPLE 1052,4,HMB
SAMPLE 1053,4,HMB
SAMPLE 1054,4,HMB
SAMPLE 1055,4,HMB
SAMPLE 1056,4,HMB
SAMPLE 1057,4,HMB
SAMPLE 1058,4,HMB
SAMPLE 1059,4,HMB
SAMPLE 1060,4,HMB
SAMPLE 1061,4,HMB
SAMPLE 1062,4,HMB
SAMPLE 1063,6,"CPH, PAP"
SAMPLE 1064,1,"MB, SHH CHL AD"
SAMPLE 1065,1,"MB, SHH INF"
SAMPLE 1066,1,"MB, SHH CHL AD"
SAMPLE 1067,6,"PTPR, B"
SAMPLE 1068,6,"PTPR, A"
SAMPLE 1069,6,"PTPR, A"
SAMPLE 1070,11,"PTPR, B"
SAMPLE 1071,6,"PTPR, B"
SAMPLE 1072,6,"PTPR, A"
SAMPLE 1073,6,"PTPR, A"
SAMPLE 1074,6,"PTPR, B"
SAMPLE 1075,6,"PTPR, B"
SAMPLE 1076,6,"PTPR, A"
SAMPLE 1077,6,"PTPR, B"
SAMPLE 1078,6,"PTPR, B"
SAMPLE 1079,6,"PTPR, B"
SAMPLE 1080,6,"PTPR, B"
SAMPLE 1081,6,"PTPR, B"
SAMPLE 1082,4,HMB
SAMPLE 1083,4,HMB
SAMPLE 1084,4,SCHW
SAMPLE 1085,4,HMB
SAMPLE 1086,4,HMB
SAMPLE 1087,11,"EPN, RELA"
SAMPLE 1088,9,ETMR
SAMPLE 1089,9,ETMR
SAMPLE 1090,6,MNG
SAMPLE 1091,6,MNG
SAMPLE 1092,4,HMB
SAMPLE 1093,4,HMB
SAMPLE 1094,4,HMB
SAMPLE 1095,4,HMB
SAMPLE 1096,4,HMB
SAMPLE 1097,6,SFT HMPC
SAMPLE 1098,6,SFT HMPC
SAMPLE 1099,12,O IDH
SAMPLE 1100,4,SCHW
SAMPLE 1101,4,SCHW
SAMPLE 1102,4,SCHW
SAMPLE 1103,4,SCHW
SAMPLE 1104,4,SCHW
SAMPLE 1105,4,SCHW
SAMPLE 1106,4,SCHW
SAMPLE 1107,4,SCHW
SAMPLE 1108,4,SCHW
SAMPLE 1109,4,SCHW
SAMPLE 1110,4,"SUBEPN, PF"
SAMPLE 1111,13,"MB, G3"
SAMPLE 1112,6,SFT HMPC
SAMPLE 1113,4,HMB
SAMPLE 1114,4,"CONTR, REACT"
SAMPLE 1115,4,PXA
SAMPLE 1116,13,"MB, G4"
SAMPLE 1117,4,"EPN, YAP"
SAMPLE 1118,11,"EPN, PF B"
SAMPLE 1119,11,"EPN, PF A"
SAMPLE 1120,4,"EPN, PF B"
SAMPLE 1121,11,"EPN, PF A"
SAMPLE 1122,11,"EPN, PF A"
SAMPLE 1123,11,"EPN, PF A"
SAMPLE 1124,4,"EPN, PF B"
SAMPLE 1125,11,"EPN, PF A"
SAMPLE 1126,4,"EPN, PF B"
SAMPLE 1127,4,"EPN, PF B"
SAMPLE 1128,11,"EPN, RELA"
SAMPLE 1129,4,"EPN, PF B"
SAMPLE 1130,11,"EPN, PF A"
SAMPLE 1131,11,"EPN, PF A"
SAMPLE 1132,11,"EPN, PF A"
SAMPLE 1133,11,"EPN, PF A"
SAMPLE 1134,11,"EPN, PF A"
SAMPLE 1135,11,"EPN, PF A"
SAMPLE 1136,4,"PGG, nC"
SAMPLE 1137,4,"PGG, nC"
SAMPLE 1138,4,"PGG, nC"
SAMPLE 1139,4,"PGG, nC"
SAMPLE 1140,4,"PGG, nC"
SAMPLE 1141,4,"PGG, nC"
SAMPLE 1142,4,"PGG, nC"
SAMPLE 1143,4,"EPN, MPE"
SAMPLE 1144,4,PITUI
SAMPLE 1145,4,PXA
SAMPLE 1146,4,"LGG, DNT"
SAMPLE 1147,4,"LGG, PA PF"
SAMPLE 1148,6,"CPH, ADM"
SAMPLE 1149,1,"MB, SHH CHL AD"
SAMPLE 1150,4,"PGG, nC"
SAMPLE 1151,4,"EPN, MPE"
SAMPLE 1152,4,"PGG, nC"
SAMPLE 1153,4,"PGG, nC"
SAMPLE 1154,4,"PGG, nC"
SAMPLE 1155,4,"PGG, nC"
SAMPLE 1156,6,SFT HMPC
SAMPLE 1157,4,HMB
SAMPLE 1158,6,"PTPR, B"
SAMPLE 1159,5,"PIN T, PPT"
SAMPLE 1160,5,"PIN T, PPT"
SAMPLE 1161,5,"PIN T,  PB B"
SAMPLE 1162,6,"PLEX, AD"
SAMPLE 1163,6,SFT HMPC
SAMPLE 1164,14,"DMG, K27"
SAMPLE 1165,6,SFT HMPC
SAMPLE 1166,6,"PLEX, PED A"
SAMPLE 1167,11,"HGNET, MN1"
SAMPLE 1168,13,"MB, G3"
SAMPLE 1169,13,"MB, G4"
SAMPLE 1170,14,"GBM, RTK III"
SAMPLE 1171,11,"HGNET, MN1"
SAMPLE 1172,7,"GBM, RTK III"
SAMPLE 1173,11,"GBM, MYCN"
SAMPLE 1174,4,PXA
SAMPLE 1175,4,"CONTR, REACT"
SAMPLE 1176,4,IHG
SAMPLE 1177,6,SFT HMPC
SAMPLE 1178,6,"PLEX, AD"
SAMPLE 1179,6,"PLEX, AD"
SAMPLE 1180,4,"LGG, DNT"
SAMPLE 1181,4,MELCYT
SAMPLE 1182,11,"EPN, RELA"
SAMPLE 1183,4,"LGG, PA MID"
SAMPLE 1184,4,DLGNT
SAMPLE 1185,4,PITUI
SAMPLE 1186,4,PITUI
SAMPLE 1187,4,"LGG, PA/GG ST"
SAMPLE 1188,14,"DMG, K27"
SAMPLE 1189,3,"GBM, RTK II"
SAMPLE 1190,4,"SUBEPN, SPINE"
SAMPLE 1191,4,"SUBEPN, SPINE"
SAMPLE 1192,13,"MB, G4"
SAMPLE 1193,2,"ATRT, SHH"
SAMPLE 1194,4,"LGG, PA MID"
SAMPLE 1195,4,"EPN, YAP"
SAMPLE 1196,11,"EPN, RELA"
SAMPLE 1197,4,"EPN, YAP"
SAMPLE 1198,11,"EPN, RELA"
SAMPLE 1199,11,"EPN, RELA"
SAMPLE 1200,11,"EPN, RELA"
SAMPLE 1201,4,"EPN, PF B"
SAMPLE 1202,11,"EPN, RELA"
SAMPLE 1203,7,"GBM, RTK I"
SAMPLE 1204,4,"SUBEPN, PF"
SAMPLE 1205,6,"CONTR, PINEAL"
SAMPLE 1206,12,O IDH
SAMPLE 1207,10,"CNS NB, FOXR2"
SAMPLE 1208,4,SCHW
SAMPLE 1209,12,O IDH
SAMPLE 1210,11,"EPN, PF A"
SAMPLE 1211,1,"MB, SHH INF"
SAMPLE 1212,1,"MB, SHH INF"
SAMPLE 1213,1,"MB, SHH INF"
SAMPLE 1214,14,"GBM, MID"
SAMPLE 1215,11,"HGNET, BCOR"
SAMPLE 1216,9,ETMR
SAMPLE 1217,9,ETMR
SAMPLE 1218,9,ETMR
SAMPLE 1219,11,"EPN, PF A"
SAMPLE 1220,4,CN
SAMPLE 1221,2,MNG
SAMPLE 1222,6,MNG
SAMPLE 1223,6,MNG
SAMPLE 1224,6,MNG
SAMPLE 1225,6,MNG
SAMPLE 1226,6,MNG
SAMPLE 1227,6,MNG
SAMPLE 1228,6,MNG
SAMPLE 1229,6,MNG
SAMPLE 1230,6,MNG
SAMPLE 1231,6,MNG
SAMPLE 1232,6,MNG
SAMPLE 1233,6,MNG
SAMPLE 1234,6,MNG
SAMPLE 1235,6,MNG
SAMPLE 1236,6,MNG
SAMPLE 1237,6,MNG
SAMPLE 1238,6,MNG
SAMPLE 1239,6,MNG
SAMPLE 1240,11,"EPN, RELA"
SAMPLE 1241,13,"MB, SHH CHL AD"
SAMPLE 1242,13,"MB, WNT"
SAMPLE 1243,1,"MB, SHH INF"
SAMPLE 1244,2,"ATRT, TYR"
SAMPLE 1245,2,"ATRT, TYR"
SAMPLE 1246,2,"ATRT, TYR"
SAMPLE 1247,2,"ATRT, SHH"
SAMPLE 1248,4,"LGG, MYB"
SAMPLE 1249,4,"SUBEPN, ST"
SAMPLE 1250,4,"SUBEPN, ST"
SAMPLE 1251,14,"DMG, K27"
SAMPLE 1252,12,A IDH
SAMPLE 1253,12,A IDH
SAMPLE 1254,12,A IDH
SAMPLE 1255,12,O IDH
SAMPLE 1256,4,"SUBEPN, ST"
SAMPLE 1257,4,"PGG, nC"
SAMPLE 1258,4,"LGG, MYB"
SAMPLE 1259,9,ETMR
SAMPLE 1260,5,"PITAD, ACTH"
SAMPLE 1261,5,"PITAD, STH DNS B"
SAMPLE 1262,9,ETMR
SAMPLE 1263,11,"EPN, PF A"
SAMPLE 1264,12,"A IDH, HG"
SAMPLE 1265,6,SFT HMPC
SAMPLE 1266,2,"ATRT, MYC"
SAMPLE 1267,5,"PITAD, ACTH"
SAMPLE 1268,1,LIPN
SAMPLE 1269,4,"EPN, SPINE"
SAMPLE 1270,2,"ATRT, SHH"
SAMPLE 1271,2,"ATRT, MYC"
SAMPLE 1272,2,"ATRT, SHH"
SAMPLE 1273,2,"ATRT, SHH"
SAMPLE 1274,2,"ATRT, TYR"
SAMPLE 1275,2,"ATRT, MYC"
SAMPLE 1276,10,"CNS NB, FOXR2"
SAMPLE 1277,10,"CNS NB, FOXR2"
SAMPLE 1278,7,"GBM, RTK III"
SAMPLE 1279,7,"GBM, G34"
SAMPLE 1280,6,"PLEX, AD"
SAMPLE 1281,12,A IDH
SAMPLE 1282,4,"SUBEPN, PF"
SAMPLE 1283,4,"SUBEPN, PF"
SAMPLE 1284,7,"GBM, G34"
SAMPLE 1285,5,"PITAD, ACTH"
SAMPLE 1286,5,"PITAD, PRL"
SAMPLE 1287,12,O IDH
SAMPLE 1288,4,"PGG, nC"
SAMPLE 1289,5,"PITAD, FSH LH"
SAMPLE 1290,5,"PITAD, FSH LH"
SAMPLE 1291,4,"EPN, SPINE"
SAMPLE 1292,4,CHGL
SAMPLE 1293,4,"SUBEPN, SPINE"
SAMPLE 1294,4,"SUBEPN, PF"
SAMPLE 1295,2,"ATRT, MYC"
SAMPLE 1296,2,"ATRT, MYC"
SAMPLE 1297,2,"ATRT, TYR"
SAMPLE 1298,2,"ATRT, TYR"
SAMPLE 1299,2,"ATRT, SHH"
SAMPLE 1300,2,"ATRT, MYC"
SAMPLE 1301,2,"ATRT, TYR"
SAMPLE 1302,2,"ATRT, MYC"
SAMPLE 1303,2,"ATRT, MYC"
SAMPLE 1304,2,"ATRT, SHH"
SAMPLE 1305,2,"ATRT, SHH"
SAMPLE 1306,2,"ATRT, SHH"
SAMPLE 1307,2,"ATRT, TYR"
SAMPLE 1308,2,"ATRT, SHH"
SAMPLE 1309,2,"ATRT, MYC"
SAMPLE 1310,2,"ATRT, TYR"
SAMPLE 1311,2,"ATRT, SHH"
SAMPLE 1312,2,"ATRT, TYR"
SAMPLE 1313,2,"ATRT, TYR"
SAMPLE 1314,2,"ATRT, SHH"
SAMPLE 1315,2,"ATRT, MYC"
SAMPLE 1316,6,"CPH, ADM"
SAMPLE 1317,6,"CPH, ADM"
SAMPLE 1318,6,"CPH, ADM"
SAMPLE 1319,6,"CPH, PAP"
SAMPLE 1320,6,"CPH, PAP"
SAMPLE 1321,6,"CPH, ADM"
SAMPLE 1322,6,"CPH, PAP"
SAMPLE 1323,6,"CPH, ADM"
SAMPLE 1324,6,"CPH, ADM"
SAMPLE 1325,11,"EPN, PF A"
SAMPLE 1326,11,"EPN, PF B"
SAMPLE 1327,4,"SUBEPN, PF"
SAMPLE 1328,11,"EPN, PF A"
SAMPLE 1329,4,"SUBEPN, PF"
SAMPLE 1330,4,"SUBEPN, PF"
SAMPLE 1331,4,"SUBEPN, PF"
SAMPLE 1332,4,"SUBEPN, PF"
SAMPLE 1333,4,"SUBEPN, PF"
SAMPLE 1334,4,"SUBEPN, PF"
SAMPLE 1335,4,"SUBEPN, PF"
SAMPLE 1336,1,LIPN
SAMPLE 1337,4,"LGG, PA MID"
SAMPLE 1338,5,"PLEX, PED B"
SAMPLE 1339,2,"PLEX, PED B"
SAMPLE 1340,6,"PLEX, PED A"
SAMPLE 1341,6,"PLEX, AD"
SAMPLE 1342,6,EWS
SAMPLE 1343,4,"SUBEPN, SPINE"
SAMPLE 1344,4,"SUBEPN, ST"
SAMPLE 1345,6,EWS
SAMPLE 1346,6,SFT HMPC
SAMPLE 1347,3,"GBM, RTK II"
SAMPLE 1348,5,"PITAD, STH DNS B"
