sample,dim1,dim2,cluster
SAMPLE 141,8.494907,19.385067,13
SAMPLE 142,2.7825522,-0.1976139,11
SAMPLE 143,5.234954,8.673104,11
SAMPLE 144,10.228081,5.0074863,6
SAMPLE 145,4.33686,2.148955,11
SAMPLE 146,-5.5838366,18.222887,9
SAMPLE 147,-11.395208,5.0175934,10
SAMPLE 148,-5.3991528,18.038221,9
SAMPLE 149,-5.4059677,18.045029,9
SAMPLE 150,-9.724506,-2.7955375,13
SAMPLE 151,8.724421,19.228996,13
SAMPLE 152,9.073277,19.318497,13
SAMPLE 153,7.013726,18.325483,1
SAMPLE 154,-4.665764,-7.6241508,13
SAMPLE 155,8.857745,19.739618,13
SAMPLE 156,-9.846013,-2.9177442,13
SAMPLE 157,6.841862,-13.057298,2
SAMPLE 158,9.001324,19.4759,13
SAMPLE 159,-4.9302583,-7.218744,13
SAMPLE 160,-5.4368277,-7.9358044,13
SAMPLE 161,8.978598,19.50599,13
SAMPLE 162,9.087242,19.317476,13
SAMPLE 163,8.928997,19.673105,13
SAMPLE 164,9.020751,19.561846,13
SAMPLE 165,-5.4011493,-7.615488,13
SAMPLE 166,-5.215087,-7.387534,13
SAMPLE 167,8.992216,19.449251,13
SAMPLE 168,8.937738,19.21998,13
SAMPLE 169,8.746643,19.132849,13
SAMPLE 170,-4.8547463,-8.292376,13
SAMPLE 171,-4.9428616,-8.336359,13
SAMPLE 172,-4.786972,-8.356835,13
SAMPLE 173,13.202651,-10.1971655,2
SAMPLE 174,13.105973,-10.142598,2
SAMPLE 175,-5.5466146,18.185705,9
SAMPLE 176,-0.1113681,5.536848,4
SAMPLE 177,-0.045760915,5.586905,4
SAMPLE 178,0.10705432,5.8018785,4
SAMPLE 179,-4.7157927,-6.6842155,13
SAMPLE 180,-4.6715865,-6.7059183,13
SAMPLE 181,7.590391,18.652119,1
SAMPLE 182,8.027655,18.986235,13
SAMPLE 183,7.937264,18.955002,13
SAMPLE 184,7.8325796,18.85887,1
SAMPLE 185,-5.4348636,-7.8829155,13
SAMPLE 186,-4.598288,-5.8399067,13
SAMPLE 187,-4.548751,-6.0098615,13
SAMPLE 188,-5.189406,-7.492753,13
SAMPLE 189,-4.66259,-7.575032,13
SAMPLE 190,8.045645,19.04608,1
SAMPLE 191,-5.3273396,-7.0936017,13
SAMPLE 192,-5.2206078,-6.4604287,13
SAMPLE 193,-5.393883,-7.1265635,13
SAMPLE 194,-11.600147,5.2303333,10
SAMPLE 195,-5.394274,18.033314,9
SAMPLE 196,-5.306056,-7.5083203,13
SAMPLE 197,-5.3896804,-7.16711,13
SAMPLE 198,-4.6755342,-7.5852227,13
SAMPLE 199,-4.7451096,-7.4416027,13
SAMPLE 200,7.8408227,18.89213,1
SAMPLE 201,-4.6484694,-6.5214477,13
SAMPLE 202,-5.0573974,-6.1216187,13
SAMPLE 203,-5.3108582,-7.5505247,13
SAMPLE 204,-4.7129116,-6.91349,13
SAMPLE 205,-4.5657125,-5.6880646,13
SAMPLE 206,-5.2400794,-6.440214,13
SAMPLE 207,-4.668758,-8.190181,13
SAMPLE 208,-11.375342,4.995468,10
SAMPLE 209,-5.314693,17.95373,9
SAMPLE 210,13.164378,-10.259281,2
SAMPLE 211,4.1046,1.9741865,11
SAMPLE 212,-5.4515405,18.090578,9
SAMPLE 213,-5.3880796,18.027172,9
SAMPLE 214,-11.345359,4.96662,10
SAMPLE 215,13.216474,-10.096644,2
SAMPLE 216,5.1297345,1.3636385,11
SAMPLE 217,12.589387,-10.438782,2
SAMPLE 218,-5.3359976,17.975079,9
SAMPLE 219,13.112018,-10.112487,2
SAMPLE 220,13.192072,-10.1132,2
SAMPLE 221,-5.5840974,18.223194,9
SAMPLE 222,-5.5621486,18.201231,9
SAMPLE 223,13.204476,-10.1889925,2
SAMPLE 224,9.072261,19.292896,13
SAMPLE 225,8.712499,19.694088,13
SAMPLE 226,8.989423,19.571724,13
SAMPLE 227,9.031842,19.570078,13
SAMPLE 228,9.088687,19.259928,13
SAMPLE 229,-5.4244847,-7.1142654,13
SAMPLE 230,-5.077991,-6.2584834,13
SAMPLE 231,0.93728775,5.621428,4
SAMPLE 232,1.283881,5.3003626,4
SAMPLE 233,0.6368408,5.171264,4
SAMPLE 234,14.089724,11.913464,3
SAMPLE 235,14.535197,13.297244,3
SAMPLE 236,14.6238,11.845331,3
SAMPLE 237,15.172117,11.985041,7
SAMPLE 238,13.866516,11.964176,3
SAMPLE 239,14.032402,11.956295,3
SAMPLE 240,13.704161,13.253904,3
SAMPLE 241,13.824503,12.22099,3
SAMPLE 242,14.428727,13.368792,3
SAMPLE 243,13.716987,13.362863,3
SAMPLE 244,14.026226,13.8662815,3
SAMPLE 245,14.101545,12.177943,3
SAMPLE 246,14.214561,12.303576,3
SAMPLE 247,14.285665,13.37298,3
SAMPLE 248,14.442238,11.850777,3
SAMPLE 249,14.145914,13.790785,3
SAMPLE 250,13.992117,13.345792,3
SAMPLE 251,14.155636,13.921198,3
SAMPLE 252,13.734657,13.508361,3
SAMPLE 253,14.128354,11.9172535,3
SAMPLE 254,14.024404,13.833204,3
SAMPLE 255,14.516032,13.138587,3
SAMPLE 256,14.143582,13.945504,3
SAMPLE 257,14.855984,12.201742,3
SAMPLE 258,14.058122,12.958727,3
SAMPLE 259,8.548614,1.2104503,14
SAMPLE 260,12.139311,-0.3745931,7
SAMPLE 261,12.012013,-0.07322946,7
SAMPLE 262,8.50503,1.3680971,14
