sample,dim1,dim2,cluster
SAMPLE 613,8.022121,18.99471,1
SAMPLE 614,-5.434405,18.073454,9
SAMPLE 615,-4.83845,-5.7729526,13
SAMPLE 616,-4.6437483,-7.5406036,13
SAMPLE 617,-4.5857096,-5.9779882,13
SAMPLE 618,14.139385,13.256291,3
SAMPLE 619,13.805808,12.583132,3
SAMPLE 620,15.006484,12.035056,3
SAMPLE 621,13.991293,13.872344,3
SAMPLE 622,14.481419,13.681043,3
SAMPLE 623,14.234659,13.877136,3
SAMPLE 624,14.216642,13.928008,3
SAMPLE 625,15.15657,12.302467,3
SAMPLE 626,14.725821,12.520323,3
SAMPLE 627,15.207853,12.2472315,3
SAMPLE 628,14.144986,12.997793,3
SAMPLE 629,13.768348,13.386946,3
SAMPLE 630,14.986885,11.975141,3
SAMPLE 631,14.48739,13.19776,3
SAMPLE 632,14.328275,13.08995,3
SAMPLE 633,14.318,13.42912,3
SAMPLE 634,14.80517,12.99417,3
SAMPLE 635,14.288302,13.124039,3
SAMPLE 636,8.522318,1.1012235,14
SAMPLE 637,7.988627,1.2070224,14
SAMPLE 638,1.2643967,5.2272267,4
SAMPLE 639,0.4063238,5.0191813,4
SAMPLE 640,0.4572264,5.334539,4
SAMPLE 641,1.3047906,5.2839,4
SAMPLE 642,9.052751,19.24578,13
SAMPLE 643,13.144596,-10.082713,2
SAMPLE 644,4.4176507,2.2008538,11
SAMPLE 645,-5.5085473,18.147612,9
SAMPLE 646,-11.539591,5.1656284,10
SAMPLE 647,5.1848245,1.419032,11
SAMPLE 648,-11.513019,5.1400633,10
SAMPLE 649,5.260106,4.7479844,4
SAMPLE 650,4.869617,7.3155107,4
SAMPLE 651,3.551844,5.4310718,4
SAMPLE 652,3.8570728,5.61508,4
SAMPLE 653,3.152387,6.377008,4
SAMPLE 654,24.872868,7.560032,12
SAMPLE 655,3.4442055,6.182951,4
SAMPLE 656,2.0073895,6.873029,4
SAMPLE 657,1.4157122,5.7072945,4
SAMPLE 658,3.4094365,5.523331,4
SAMPLE 659,3.551089,5.4018188,4
SAMPLE 660,3.3676877,5.471569,4
SAMPLE 661,2.8386245,5.6253257,4
SAMPLE 662,-11.427576,5.055252,10
SAMPLE 663,22.783047,7.9170322,8
SAMPLE 664,-5.29553,17.934454,9
SAMPLE 665,-11.558255,5.186488,10
SAMPLE 666,3.4192705,5.4573884,4
SAMPLE 667,-5.3262296,17.965263,9
SAMPLE 668,-5.4021974,18.041286,9
SAMPLE 669,-5.433876,18.072939,9
SAMPLE 670,7.012414,18.33792,1
SAMPLE 671,-5.028202,-8.242719,13
SAMPLE 672,-11.531728,5.159392,10
SAMPLE 673,-11.522483,5.1501703,10
SAMPLE 674,-11.571148,5.1999693,10
SAMPLE 675,-5.362185,18.00128,9
SAMPLE 676,8.593766,1.2426218,14
SAMPLE 677,-0.04187083,8.854562,4
SAMPLE 678,-0.043377783,8.909384,4
SAMPLE 679,-0.0018870049,8.855847,4
SAMPLE 680,-0.043183073,8.899309,4
SAMPLE 681,-0.08928789,8.956252,4
SAMPLE 682,-0.0659473,8.892268,4
SAMPLE 683,10.953607,4.875918,6
SAMPLE 684,11.005489,5.091429,6
SAMPLE 685,10.8607435,5.2240376,6
SAMPLE 686,10.996831,4.9419622,6
SAMPLE 687,10.47294,4.6393476,6
SAMPLE 688,10.54296,4.6142635,6
SAMPLE 689,10.602091,5.0579906,6
SAMPLE 690,10.834879,5.118058,6
SAMPLE 691,11.052098,5.058936,6
SAMPLE 692,10.586375,4.629554,6
SAMPLE 693,10.508015,4.644107,6
SAMPLE 694,10.559562,4.6689625,6
SAMPLE 695,10.725488,4.7507763,6
SAMPLE 696,10.536321,4.670157,6
SAMPLE 697,10.548644,4.6186056,6
SAMPLE 698,10.593488,4.618434,6
SAMPLE 699,10.539737,4.5927105,6
SAMPLE 700,10.658519,4.5781164,6
SAMPLE 701,10.671101,4.6305084,6
SAMPLE 702,10.533096,4.5688806,6
SAMPLE 703,10.536218,4.5958223,6
SAMPLE 704,10.594094,4.598269,6
SAMPLE 705,10.56047,4.6185317,6
SAMPLE 706,10.459059,4.6877837,6
SAMPLE 707,10.746479,5.276675,6
SAMPLE 708,10.4349165,4.954108,6
SAMPLE 709,10.84544,5.249028,6
SAMPLE 710,10.615544,4.598664,6
SAMPLE 711,10.991889,5.1435847,6
SAMPLE 712,10.717538,4.7306337,6
SAMPLE 713,10.939002,5.125121,6
SAMPLE 714,10.996056,5.4916363,6
SAMPLE 715,-0.27031273,5.349928,4
SAMPLE 716,23.232737,8.081392,8
SAMPLE 717,24.180222,8.91075,12
SAMPLE 718,23.704065,8.379795,12
SAMPLE 719,24.330532,9.243093,12
SAMPLE 720,1.2661207,7.7639318,4
SAMPLE 721,24.626503,8.85482,12
SAMPLE 722,1.2854382,7.7724633,4
SAMPLE 723,1.2180446,7.680246,4
SAMPLE 724,1.9909434,7.063889,4
SAMPLE 725,1.2609878,7.7460165,4
SAMPLE 726,1.6390384,7.933167,4
SAMPLE 727,1.5365773,7.892719,4
SAMPLE 728,1.5894928,7.898761,4
SAMPLE 729,1.4963913,7.877335,4
SAMPLE 730,-0.26393098,5.5074778,4
SAMPLE 731,8.677462,19.14203,13
SAMPLE 732,5.085662,7.9905934,4
SAMPLE 733,24.014824,7.7093687,12
SAMPLE 734,24.517757,7.848061,12
SAMPLE 735,24.319666,8.4280815,12
SAMPLE 736,24.462168,8.396872,12
SAMPLE 737,23.32925,8.033479,12
SAMPLE 738,24.141016,8.037927,12
SAMPLE 739,10.512748,4.6116996,6
SAMPLE 740,10.892708,4.8953166,6
SAMPLE 741,10.591948,4.6119566,6
SAMPLE 742,10.467387,4.5834236,6
SAMPLE 743,10.478535,4.6836343,6
SAMPLE 744,15.250851,12.353097,3
SAMPLE 745,14.798826,12.632054,3
SAMPLE 746,2.1990952,-0.42840594,11
SAMPLE 747,2.621487,-0.4478193,11
SAMPLE 748,4.5376496,1.7030082,11
SAMPLE 749,8.357426,19.40676,13
SAMPLE 750,-4.8854947,-8.362757,13
SAMPLE 751,14.064062,13.936382,3
SAMPLE 752,5.1355314,1.9604526,11
SAMPLE 753,8.518566,5.1028924,6
SAMPLE 754,23.612867,8.09327,12
SAMPLE 755,24.130976,8.055092,12
SAMPLE 756,24.544804,8.455404,12
SAMPLE 757,1.9706657,5.699351,4
SAMPLE 758,1.4903638,5.8800087,4
SAMPLE 759,3.4253018,5.420703,4
SAMPLE 760,3.5532577,5.413771,4
SAMPLE 761,3.4801133,5.389149,4
SAMPLE 762,1.6886377,6.023148,4
SAMPLE 763,24.513296,8.441631,12
SAMPLE 764,24.578728,8.727458,12
SAMPLE 765,8.843881,19.767027,13
SAMPLE 766,13.195808,-10.088667,2
SAMPLE 767,-5.6624403,18.301529,9
SAMPLE 768,-11.608427,5.238195,10
SAMPLE 769,9.014568,19.21738,13
SAMPLE 770,8.943309,19.704384,13
SAMPLE 771,2.920655,8.310085,4
SAMPLE 772,3.036974,8.213976,4
SAMPLE 773,1.2171761,7.4899087,4
SAMPLE 774,0.6764918,13.022676,4
SAMPLE 775,2.9631414,8.32563,4
SAMPLE 776,0.68200237,13.02856,4
SAMPLE 777,3.4901466,5.520563,4
SAMPLE 778,3.1591208,6.367732,4
SAMPLE 779,0.6871278,13.033799,4
SAMPLE 780,0.6972576,13.043957,4
SAMPLE 781,0.68110156,13.027441,4
SAMPLE 782,0.6765933,13.023129,4
SAMPLE 783,0.67461014,13.019701,4
SAMPLE 784,0.67706704,13.023623,4
SAMPLE 785,3.0819633,8.205627,4
SAMPLE 786,2.8024566,8.306008,4
SAMPLE 787,3.1330209,8.287371,4
SAMPLE 788,2.162377,8.192937,4
SAMPLE 789,3.7017746,5.674784,4
SAMPLE 790,3.6268106,5.7597303,4
SAMPLE 791,6.829191,-13.069938,2
SAMPLE 792,6.802668,-13.096483,2
SAMPLE 793,0.99222064,-9.405862,5
SAMPLE 794,6.814374,-13.084203,2
SAMPLE 795,14.173177,12.912024,3
SAMPLE 796,14.836354,12.558679,3
SAMPLE 797,13.741149,13.371782,3
SAMPLE 798,2.3123384,6.6535883,4
SAMPLE 799,2.2899501,6.8494678,4
SAMPLE 800,3.1531394,5.6939936,4
SAMPLE 801,2.3237302,6.821158,4
SAMPLE 802,2.011523,7.0474544,4
SAMPLE 803,2.2834346,6.932891,4
SAMPLE 804,2.0530865,6.522101,4
SAMPLE 805,1.6333685,5.7493606,4
SAMPLE 806,2.0678723,6.632483,4
SAMPLE 807,6.833878,-13.065311,2
SAMPLE 808,-5.3077607,17.946785,9
SAMPLE 809,-5.496325,18.135483,9
SAMPLE 810,-5.291112,17.929518,9
SAMPLE 811,-5.281303,17.920275,9
SAMPLE 812,-5.5216517,18.160772,9
SAMPLE 813,-5.515733,18.1548,9
SAMPLE 814,-5.4220657,18.061167,9
SAMPLE 815,13.855803,13.539464,3
SAMPLE 816,14.203886,14.033222,3
SAMPLE 817,14.453458,13.223233,3
SAMPLE 818,14.275841,13.736146,3
SAMPLE 819,14.708806,11.962796,3
SAMPLE 820,14.694599,12.902582,3
SAMPLE 821,14.340208,13.034723,3
SAMPLE 822,13.87414,12.833268,3
SAMPLE 823,14.541833,12.044239,3
SAMPLE 824,14.376953,14.007031,3
SAMPLE 825,14.565185,13.053447,3
SAMPLE 826,14.089905,13.70324,3
SAMPLE 827,14.709757,12.775689,3
SAMPLE 828,-7.246086,11.108163,4
SAMPLE 829,14.57976,12.375241,3
SAMPLE 830,14.318657,13.015976,3
SAMPLE 831,13.963656,11.955489,3
SAMPLE 832,14.04155,12.8004,3
SAMPLE 833,8.248644,5.205571,6
SAMPLE 834,8.579574,5.1150937,6
SAMPLE 835,14.464337,13.367416,3
SAMPLE 836,14.418283,12.999772,3
SAMPLE 837,14.375911,11.854168,3
SAMPLE 838,14.816346,12.200972,3
SAMPLE 839,7.9838824,18.998476,1
SAMPLE 840,15.189109,12.413342,3
SAMPLE 841,5.424392,4.4989395,0
SAMPLE 842,-5.2957296,17.934793,9
SAMPLE 843,14.710097,12.744259,3
SAMPLE 844,13.966709,13.270855,3
SAMPLE 845,8.0342245,19.036015,1
SAMPLE 846,-5.340429,17.979506,9
SAMPLE 847,7.063445,18.25805,1
SAMPLE 848,8.092633,5.1886044,6
SAMPLE 849,5.2610188,1.4845613,11
SAMPLE 850,2.0653036,5.833244,4
SAMPLE 851,5.2697053,-5.1401772,6
SAMPLE 852,6.793925,-13.105291,2
SAMPLE 853,6.8163037,-13.082846,2
SAMPLE 854,6.7872143,-13.111931,2
SAMPLE 855,1.6774415,5.850431,4
SAMPLE 856,1.6464691,5.975329,4
SAMPLE 857,1.3742964,-8.747765,5
SAMPLE 858,1.1174209,-9.154674,5
SAMPLE 859,8.939008,6.9854856,6
SAMPLE 860,8.87532,6.834338,6
SAMPLE 861,8.847779,6.1424246,6
SAMPLE 862,8.866012,6.38037,6
SAMPLE 863,8.898969,6.8784533,6
SAMPLE 864,3.3461902,5.4382806,4
SAMPLE 865,-5.496268,18.135372,9
SAMPLE 866,12.568141,-10.019295,2
SAMPLE 867,-11.3648815,4.985998,10
SAMPLE 868,8.6178465,5.1342616,6
SAMPLE 869,3.0514765,6.398065,4
SAMPLE 870,19.676413,-11.264132,5
SAMPLE 871,14.480359,12.98294,3
SAMPLE 872,24.90766,7.810292,12
SAMPLE 873,24.390108,8.304514,12
SAMPLE 874,4.651728,6.5623856,4
SAMPLE 875,24.788044,7.5343595,12
SAMPLE 876,14.235612,11.796889,3
SAMPLE 877,24.149199,8.0278015,12
SAMPLE 878,1.4636053,-8.589764,5
SAMPLE 879,5.0561266,7.8783875,4
SAMPLE 880,-4.813346,4.6340065,4
SAMPLE 881,24.425875,8.885115,12
SAMPLE 882,22.85931,7.9740763,8
SAMPLE 883,23.651222,8.077584,12
SAMPLE 884,4.741185,7.8948436,4
SAMPLE 885,13.7920885,12.078791,3
SAMPLE 886,-4.807326,4.6291227,4
SAMPLE 887,11.991704,-0.31270185,7
SAMPLE 888,24.351192,8.223631,12
SAMPLE 889,1.2194133,-9.03398,5
SAMPLE 890,2.097585,5.5273604,4
SAMPLE 891,1.350452,-8.794897,5
SAMPLE 892,1.5046805,-8.534385,6
SAMPLE 893,1.1533805,-9.120806,5
SAMPLE 894,4.7127976,8.076309,4
SAMPLE 895,11.923374,-0.030085115,7
SAMPLE 896,7.9295735,1.393346,14
SAMPLE 897,22.87447,7.8941517,8
SAMPLE 898,4.862794,1.9545052,11
SAMPLE 899,5.261356,1.4155564,11
SAMPLE 900,0.08101355,7.7129803,4
SAMPLE 901,5.129884,1.6507322,11
SAMPLE 902,0.041803397,7.783019,4
SAMPLE 903,0.054848555,7.4715943,4
SAMPLE 904,0.2576199,7.0154586,4
SAMPLE 905,0.76917785,7.271358,4
SAMPLE 906,24.496408,7.86051,12
SAMPLE 907,0.15912984,7.3429365,4
SAMPLE 908,7.8339853,1.2540396,14
SAMPLE 909,8.174061,1.2256553,14
SAMPLE 910,8.015527,1.0983106,14
SAMPLE 911,-11.60003,5.227935,10
SAMPLE 912,-11.494525,5.1186957,10
SAMPLE 913,8.922929,6.9304686,6
SAMPLE 914,8.893847,6.9009404,6
SAMPLE 915,0.6812008,13.02057,4
SAMPLE 916,0.6908933,13.038056,4
SAMPLE 917,0.67544013,13.022872,4
SAMPLE 918,3.0779858,6.545596,4
SAMPLE 919,0.666125,13.012195,4
SAMPLE 920,0.6935957,13.04121,4
SAMPLE 921,0.6830621,13.029635,4
SAMPLE 922,0.66966945,13.016057,4
SAMPLE 923,4.268918,6.3467484,4
SAMPLE 924,0.10793543,7.8306074,4
SAMPLE 925,7.0319924,5.3227024,2
SAMPLE 926,4.679409,-4.101237,6
SAMPLE 927,5.1786227,1.8790504,11
SAMPLE 928,2.3910964,-0.7074707,11
SAMPLE 929,2.4885767,-0.5057786,11
SAMPLE 930,2.6167665,-0.6301741,11
SAMPLE 931,8.984837,7.0532317,6
SAMPLE 932,8.934977,6.964501,6
SAMPLE 933,8.930775,6.972647,6
SAMPLE 934,8.85572,6.179804,6
SAMPLE 935,8.838273,6.061513,6
SAMPLE 936,8.977231,7.0398583,6
SAMPLE 937,8.89821,6.9041467,6
SAMPLE 938,4.137862,1.9131377,11
SAMPLE 939,4.814552,2.1961179,11
SAMPLE 940,4.1521835,2.051435,11
SAMPLE 941,4.6789207,2.173281,11
SAMPLE 942,4.322986,1.8432674,11
SAMPLE 943,4.356531,1.713566,11
SAMPLE 944,4.1223454,1.8854827,11
SAMPLE 945,5.1957407,1.8792669,11
SAMPLE 946,4.660601,2.3703833,11
SAMPLE 947,4.837282,1.4820176,11
SAMPLE 948,4.51268,1.901393,11
SAMPLE 949,4.5803056,1.761851,11
SAMPLE 950,5.072059,1.364496,11
SAMPLE 951,4.1752706,1.7629106,11
SAMPLE 952,4.34827,1.708549,11
SAMPLE 953,2.8611946,-0.35984522,11
SAMPLE 954,4.434843,3.1924691,11
SAMPLE 955,4.771694,1.7341172,11
SAMPLE 956,4.4264045,1.7275449,11
SAMPLE 957,4.9244184,1.4407966,11
SAMPLE 958,4.618015,1.6092905,11
SAMPLE 959,4.8692365,2.0197499,11
SAMPLE 960,4.463168,2.0887978,11
SAMPLE 961,1.1907358,7.1845074,4
SAMPLE 962,1.6654905,7.1279154,4
SAMPLE 963,2.5037289,-0.7327129,11
SAMPLE 964,2.4735596,-0.38495433,11
SAMPLE 965,2.2851481,-0.6265842,11
SAMPLE 966,2.2998965,-0.312961,11
SAMPLE 967,2.778087,-0.2045596,11
SAMPLE 968,2.403265,-0.7899794,11
SAMPLE 969,2.1454644,-0.4309605,11
SAMPLE 970,2.1120074,-0.43912363,11
SAMPLE 971,10.99565,5.476653,6
SAMPLE 972,2.8095424,-0.4124126,11
SAMPLE 973,8.573417,1.0266533,14
SAMPLE 974,23.157673,7.9169197,8
SAMPLE 975,4.8173575,7.7142086,4
SAMPLE 976,9.127733,19.22618,13
SAMPLE 977,8.89928,19.530209,13
SAMPLE 978,8.880815,19.534466,13
SAMPLE 979,8.779818,19.514816,13
SAMPLE 980,5.0653057,1.8349198,11
SAMPLE 981,10.815212,5.4327087,6
SAMPLE 982,10.937352,5.0409045,6
SAMPLE 983,9.005271,19.51898,13
SAMPLE 984,9.091701,19.33251,13
SAMPLE 985,8.09254,19.081537,13
SAMPLE 986,19.439867,-11.027346,5
SAMPLE 987,19.617838,-11.205684,5
SAMPLE 988,23.422049,8.060632,12
SAMPLE 989,1.2281203,6.9659424,4
SAMPLE 990,2.3801737,-0.85541284,11
SAMPLE 991,7.4111743,17.79708,1
SAMPLE 992,-4.6563697,-8.139423,13
SAMPLE 993,8.802035,5.939787,6
SAMPLE 994,5.12449,8.012944,4
SAMPLE 995,8.811214,5.9868054,6
SAMPLE 996,8.747047,5.962454,6
SAMPLE 997,5.0895514,8.243014,4
SAMPLE 998,4.7040973,6.3139315,4
SAMPLE 999,3.962812,5.6076884,4
SAMPLE 1000,4.2069407,1.8450949,11
SAMPLE 1001,5.456821,9.266328,11
SAMPLE 1002,2.6033142,-0.57336617,11
SAMPLE 1003,4.2263227,2.0830789,11
SAMPLE 1004,2.5725408,-0.60728174,11
SAMPLE 1005,4.3936915,3.4161623,4
SAMPLE 1006,2.2909765,-0.28734267,11
SAMPLE 1007,2.5030768,-0.6878622,11
SAMPLE 1008,5.06432,8.950841,4
SAMPLE 1009,2.4386218,-0.17297193,11
SAMPLE 1010,4.3867927,3.395601,11
SAMPLE 1011,2.3612149,-0.44191074,11
SAMPLE 1012,2.3600876,-0.8154231,11
SAMPLE 1013,2.290248,-0.44040406,11
SAMPLE 1014,5.247333,9.066858,11
SAMPLE 1015,4.7500973,1.7812303,11
SAMPLE 1016,4.2744765,1.7368758,11
SAMPLE 1017,2.3940773,-0.88583803,11
SAMPLE 1018,2.3893673,-0.8347657,11
SAMPLE 1019,2.7133303,-0.5256687,11
SAMPLE 1020,2.514935,-0.23733883,11
SAMPLE 1021,2.8147774,-0.4529836,11
SAMPLE 1022,2.6893728,-0.5540891,11
SAMPLE 1023,2.7488244,-0.4306504,11
SAMPLE 1024,2.3909285,-0.85843015,11
SAMPLE 1025,2.538195,-0.4285908,11
SAMPLE 1026,2.8469553,-0.2617577,11
SAMPLE 1027,2.7157512,-0.28896332,11
SAMPLE 1028,2.7583737,-0.4949366,11
SAMPLE 1029,2.4847283,-0.14461575,11
SAMPLE 1030,2.341594,-0.2613891,11
SAMPLE 1031,2.417568,-0.6423112,11
SAMPLE 1032,2.4955597,-0.7460876,11
SAMPLE 1033,2.644736,-0.5116036,11
SAMPLE 1034,2.2266629,-0.31547496,11
SAMPLE 1035,2.3199594,-0.38615125,11
SAMPLE 1036,2.7117696,-0.53935295,11
SAMPLE 1037,2.5853071,-0.1212646,11
SAMPLE 1038,6.9208784,18.277824,1
SAMPLE 1039,8.411559,19.374537,13
SAMPLE 1040,12.936156,-11.170341,2
SAMPLE 1041,-11.395096,5.0162606,10
SAMPLE 1042,-11.443784,5.066379,10
SAMPLE 1043,5.844142,2.1045802,11
SAMPLE 1044,4.900625,7.336553,4
SAMPLE 1045,4.811332,7.771337,4
SAMPLE 1046,8.81499,6.0633583,6
SAMPLE 1047,8.77281,6.0998054,6
SAMPLE 1048,3.8266096,5.52438,4
SAMPLE 1049,4.8824573,7.668544,4
SAMPLE 1050,8.830993,6.105919,6
SAMPLE 1051,5.07696,7.903507,4
SAMPLE 1052,5.207046,4.792574,4
SAMPLE 1053,5.239671,4.7557454,4
SAMPLE 1054,5.1726213,4.830231,4
SAMPLE 1055,5.0742683,5.004338,4
SAMPLE 1056,5.189277,4.79835,4
SAMPLE 1057,5.1963186,4.807846,4
SAMPLE 1058,5.203236,4.7720366,4
SAMPLE 1059,5.230325,4.789527,4
SAMPLE 1060,5.2136354,4.782817,4
SAMPLE 1061,5.1912255,4.9269667,4
SAMPLE 1062,5.2029824,4.811816,4
SAMPLE 1063,8.826217,6.0469007,6
SAMPLE 1064,7.911519,18.89418,1
SAMPLE 1065,7.0196133,18.329742,1
SAMPLE 1066,8.101749,19.031605,1
SAMPLE 1067,5.1888847,-5.198505,6
SAMPLE 1068,4.679328,-4.104707,6
SAMPLE 1069,4.6820188,-4.1314607,6
SAMPLE 1070,5.1991796,-5.181984,11
SAMPLE 1071,5.1857147,-5.1897287,6
SAMPLE 1072,4.68987,-4.004755,6
SAMPLE 1073,4.693173,-4.093886,6
SAMPLE 1074,5.141944,-5.214834,6
SAMPLE 1075,5.199266,-5.2184405,6
SAMPLE 1076,4.649564,-4.1316266,6
SAMPLE 1077,5.035827,-4.9919205,6
SAMPLE 1078,5.127671,-5.192342,6
SAMPLE 1079,5.1175575,-5.1348,6
SAMPLE 1080,5.2282267,-5.204794,6
SAMPLE 1081,5.179898,-5.1268425,6
SAMPLE 1082,5.1754074,4.8355603,4
SAMPLE 1083,5.264555,4.6982656,4
SAMPLE 1084,4.032146,6.1378784,4
SAMPLE 1085,5.1842875,4.7950487,4
SAMPLE 1086,5.221004,4.797377,4
SAMPLE 1087,4.4948025,1.6914179,11
SAMPLE 1088,-5.5011983,18.140278,9
SAMPLE 1089,-5.3445168,17.983606,9
SAMPLE 1090,10.457776,5.1052556,6
SAMPLE 1091,10.913207,4.9596095,6
SAMPLE 1092,5.175567,4.813579,4
SAMPLE 1093,5.2395782,4.7904177,4
SAMPLE 1094,5.1947775,4.691682,4
SAMPLE 1095,5.2569413,4.7286944,4
SAMPLE 1096,5.0853987,4.947638,4
SAMPLE 1097,9.552228,5.148991,6
SAMPLE 1098,9.624462,5.1306834,6
SAMPLE 1099,24.623678,8.608429,12
SAMPLE 1100,3.8151934,6.2897964,4
SAMPLE 1101,3.7501736,6.2128363,4
SAMPLE 1102,3.9513319,6.244145,4
SAMPLE 1103,3.388213,6.265873,4
SAMPLE 1104,3.9289196,6.3217278,4
SAMPLE 1105,4.051588,6.333097,4
SAMPLE 1106,5.171888,4.96689,4
SAMPLE 1107,4.007967,6.3287168,4
SAMPLE 1108,3.943442,6.2780457,4
SAMPLE 1109,3.9059865,6.307996,4
SAMPLE 1110,3.8264008,10.388611,4
SAMPLE 1111,-4.5329456,-5.678475,13
SAMPLE 1112,9.600179,5.1535797,6
SAMPLE 1113,5.2597675,4.7269893,4
SAMPLE 1114,3.1218138,5.5102067,4
SAMPLE 1115,1.6662028,6.5843453,4
SAMPLE 1116,-4.6016545,-8.011362,13
SAMPLE 1117,4.3978543,3.434181,4
SAMPLE 1118,5.4669433,9.259629,11
SAMPLE 1119,2.142604,-0.40878052,11
SAMPLE 1120,4.9329286,8.69936,4
SAMPLE 1121,2.2783945,-0.41881543,11
SAMPLE 1122,2.648064,-0.11616272,11
SAMPLE 1123,2.3498256,-0.20277257,11
SAMPLE 1124,4.9487453,8.713827,4
SAMPLE 1125,2.7956405,-0.16090833,11
SAMPLE 1126,5.0429163,8.889445,4
SAMPLE 1127,5.1779222,8.548731,4
SAMPLE 1128,4.560068,1.9762789,11
SAMPLE 1129,5.1380806,8.555063,4
SAMPLE 1130,2.7115898,-0.16780683,11
SAMPLE 1131,2.2982018,-0.31700554,11
SAMPLE 1132,2.7824292,-0.4292671,11
SAMPLE 1133,2.845167,-0.0745541,11
SAMPLE 1134,2.9176967,-0.2669393,11
SAMPLE 1135,2.862356,-0.2838483,11
SAMPLE 1136,-4.8068604,4.637234,4
SAMPLE 1137,-4.818876,4.639612,4
SAMPLE 1138,-4.811855,4.640926,4
SAMPLE 1139,-4.8234973,4.6456637,4
SAMPLE 1140,-4.7929235,4.6259665,4
SAMPLE 1141,-4.817274,4.6183224,4
SAMPLE 1142,-4.812857,4.6398416,4
SAMPLE 1143,5.054603,7.9644933,4
SAMPLE 1144,4.881068,6.458826,4
SAMPLE 1145,2.2390707,6.872627,4
SAMPLE 1146,0.63378555,7.7645035,4
SAMPLE 1147,0.68966854,6.1745105,4
SAMPLE 1148,8.965071,7.027458,6
SAMPLE 1149,7.882318,18.705795,1
SAMPLE 1150,-4.8026867,4.629142,4
SAMPLE 1151,4.8711133,7.558487,4
SAMPLE 1152,-4.807921,4.6449823,4
SAMPLE 1153,-4.770097,4.6590805,4
SAMPLE 1154,-4.811532,4.653245,4
SAMPLE 1155,-4.856498,4.680661,4
SAMPLE 1156,9.581488,5.124067,6
SAMPLE 1157,5.220057,4.7597156,4
SAMPLE 1158,5.123429,-5.0594316,6
SAMPLE 1159,1.3403965,-8.794288,5
SAMPLE 1160,0.9964851,-9.409945,5
SAMPLE 1161,0.99685997,-9.406272,5
SAMPLE 1162,4.708332,-4.00985,6
SAMPLE 1163,9.558323,5.179181,6
SAMPLE 1164,7.8712473,1.49068,14
SAMPLE 1165,9.5447,5.1457,6
SAMPLE 1166,4.8969717,-4.316138,6
SAMPLE 1167,5.0578694,2.3062048,11
SAMPLE 1168,-4.54996,-5.6986575,13
SAMPLE 1169,-4.9431467,-7.8372746,13
SAMPLE 1170,5.933317,2.056907,14
SAMPLE 1171,4.888386,2.4647489,11
SAMPLE 1172,11.720108,-0.30992773,7
SAMPLE 1173,4.85379,2.1824648,11
SAMPLE 1174,2.0540743,6.6050096,4
SAMPLE 1175,3.6646023,5.373609,4
SAMPLE 1176,2.9308085,6.373142,4
SAMPLE 1177,9.597035,5.127479,6
SAMPLE 1178,4.742525,-4.179872,6
SAMPLE 1179,4.7181582,-4.1234484,6
SAMPLE 1180,1.0805755,7.280362,4
SAMPLE 1181,5.6078973,5.5888896,4
SAMPLE 1182,4.686524,2.326113,11
SAMPLE 1183,-0.042480372,5.6833167,4
SAMPLE 1184,0.41792265,5.4360514,4
SAMPLE 1185,4.643021,5.9229245,4
SAMPLE 1186,4.67325,5.9209104,4
SAMPLE 1187,1.4881924,6.808143,4
SAMPLE 1188,7.975696,1.1303068,14
SAMPLE 1189,14.4796295,13.370572,3
SAMPLE 1190,2.2061763,8.176776,4
SAMPLE 1191,2.2067597,8.188411,4
SAMPLE 1192,-4.8614287,-8.350325,13
SAMPLE 1193,13.232293,-10.166716,2
SAMPLE 1194,0.98179746,5.917678,4
SAMPLE 1195,4.373565,3.4498076,4
SAMPLE 1196,4.6875925,1.8737829,11
SAMPLE 1197,4.4441304,3.2805057,4
SAMPLE 1198,4.2619224,1.7957221,11
SAMPLE 1199,4.4253135,1.7809323,11
SAMPLE 1200,4.669779,1.7057854,11
SAMPLE 1201,5.0816393,8.7747555,4
SAMPLE 1202,4.663276,1.9836653,11
SAMPLE 1203,15.089454,11.993317,7
SAMPLE 1204,3.7638326,10.317254,4
SAMPLE 1205,1.5112325,-8.522159,6
SAMPLE 1206,24.92908,7.9278607,12
SAMPLE 1207,-11.368497,4.990891,10
SAMPLE 1208,3.8243313,5.5058002,4
SAMPLE 1209,24.576063,8.79315,12
SAMPLE 1210,2.5587952,-0.56905633,11
SAMPLE 1211,8.02369,19.027899,1
SAMPLE 1212,6.930921,18.288427,1
SAMPLE 1213,7.0717163,18.320148,1
SAMPLE 1214,8.10392,1.2564136,14
SAMPLE 1215,5.1770706,1.399868,11
SAMPLE 1216,-5.3193755,17.95842,9
SAMPLE 1217,-5.255405,17.894382,9
SAMPLE 1218,-5.3721313,18.01118,9
SAMPLE 1219,2.7583106,-0.4340039,11
SAMPLE 1220,0.6794243,13.022947,4
SAMPLE 1221,7.1103487,5.2726007,2
SAMPLE 1222,10.999496,5.489814,6
SAMPLE 1223,9.612662,5.046972,6
SAMPLE 1224,9.984157,5.023904,6
SAMPLE 1225,9.328735,5.0595193,6
SAMPLE 1226,8.619414,5.047059,6
SAMPLE 1227,10.329832,5.1139984,6
SAMPLE 1228,10.492903,5.1942096,6
SAMPLE 1229,10.953864,5.5288153,6
SAMPLE 1230,10.801205,5.410236,6
SAMPLE 1231,10.903404,5.4536676,6
