sample,cluster
SAMPLE 291,13
SAMPLE 292,13
SAMPLE 293,13
SAMPLE 294,13
SAMPLE 295,13
SAMPLE 296,4
SAMPLE 297,4
SAMPLE 298,4
SAMPLE 299,4
SAMPLE 300,4
SAMPLE 301,4
SAMPLE 302,4
SAMPLE 303,4
SAMPLE 304,4
SAMPLE 305,4
SAMPLE 306,4
SAMPLE 307,4
SAMPLE 308,4
SAMPLE 309,4
SAMPLE 310,4
SAMPLE 311,4
SAMPLE 312,4
SAMPLE 313,4
SAMPLE 314,4
SAMPLE 315,4
SAMPLE 316,4
SAMPLE 317,4
SAMPLE 318,4
SAMPLE 319,4
SAMPLE 320,4
SAMPLE 321,4
SAMPLE 322,4
SAMPLE 323,4
SAMPLE 324,4
SAMPLE 325,4
SAMPLE 326,4
SAMPLE 327,4
SAMPLE 328,4
SAMPLE 329,11
SAMPLE 330,11
SAMPLE 331,11
SAMPLE 332,11
SAMPLE 333,11
SAMPLE 334,4
SAMPLE 335,11
SAMPLE 336,11
SAMPLE 337,7
SAMPLE 338,11
SAMPLE 339,11
SAMPLE 340,11
SAMPLE 341,11
SAMPLE 342,4
SAMPLE 343,4
SAMPLE 344,11
SAMPLE 345,4
SAMPLE 346,6
SAMPLE 347,11
SAMPLE 348,11
SAMPLE 349,11
SAMPLE 350,4
SAMPLE 351,11
SAMPLE 352,4
SAMPLE 353,11
SAMPLE 354,4
SAMPLE 355,11
SAMPLE 356,4
SAMPLE 357,11
SAMPLE 358,4
SAMPLE 359,11
SAMPLE 360,11
SAMPLE 361,11
SAMPLE 362,11
SAMPLE 363,11
SAMPLE 364,4
SAMPLE 365,4
SAMPLE 366,4
SAMPLE 367,4
SAMPLE 368,4
SAMPLE 369,4
SAMPLE 370,4
SAMPLE 371,4
SAMPLE 372,4
SAMPLE 373,11
SAMPLE 374,11
SAMPLE 375,11
SAMPLE 376,11
SAMPLE 377,11
SAMPLE 378,11
SAMPLE 379,4
SAMPLE 380,1
SAMPLE 381,1
SAMPLE 382,4
SAMPLE 383,4
SAMPLE 384,4
SAMPLE 385,4
SAMPLE 386,4
SAMPLE 387,4
SAMPLE 388,1
SAMPLE 389,13
SAMPLE 390,13
SAMPLE 391,13
SAMPLE 392,13
SAMPLE 393,13
SAMPLE 394,13
SAMPLE 395,1
SAMPLE 396,13
SAMPLE 397,13
SAMPLE 398,1
SAMPLE 399,13
SAMPLE 400,13
SAMPLE 401,13
SAMPLE 402,1
SAMPLE 403,13
SAMPLE 404,1
SAMPLE 405,1
SAMPLE 406,13
SAMPLE 407,13
SAMPLE 408,1
SAMPLE 409,13
SAMPLE 410,13
SAMPLE 411,13
SAMPLE 412,13
SAMPLE 413,13
SAMPLE 414,13
SAMPLE 415,13
SAMPLE 416,13
SAMPLE 417,13
SAMPLE 418,1
SAMPLE 419,13
SAMPLE 420,13
SAMPLE 421,13
SAMPLE 422,13
SAMPLE 423,13
SAMPLE 424,13
SAMPLE 425,1
SAMPLE 426,13
SAMPLE 427,13
SAMPLE 428,13
SAMPLE 429,13
SAMPLE 430,13
SAMPLE 431,13
SAMPLE 432,13
SAMPLE 433,13
SAMPLE 434,13
SAMPLE 435,1
SAMPLE 436,13
SAMPLE 437,13
SAMPLE 438,13
SAMPLE 439,13
SAMPLE 440,1
SAMPLE 441,13
SAMPLE 442,13
SAMPLE 443,13
SAMPLE 444,13
SAMPLE 445,13
SAMPLE 446,13
SAMPLE 447,13
SAMPLE 448,13
SAMPLE 449,13
SAMPLE 450,13
SAMPLE 451,13
SAMPLE 452,13
SAMPLE 453,13
SAMPLE 454,13
SAMPLE 455,13
SAMPLE 456,13
SAMPLE 457,13
SAMPLE 458,13
SAMPLE 459,13
SAMPLE 460,13
SAMPLE 461,1
SAMPLE 462,13
SAMPLE 463,13
SAMPLE 464,13
SAMPLE 465,1
SAMPLE 466,13
SAMPLE 467,13
SAMPLE 468,13
SAMPLE 469,13
SAMPLE 470,11
SAMPLE 471,9
SAMPLE 472,13
SAMPLE 473,13
SAMPLE 474,13
SAMPLE 475,13
SAMPLE 476,13
SAMPLE 477,13
SAMPLE 478,13
SAMPLE 479,13
SAMPLE 480,13
SAMPLE 481,13
SAMPLE 482,13
SAMPLE 483,13
SAMPLE 484,1
SAMPLE 485,13
SAMPLE 486,13
SAMPLE 487,13
SAMPLE 488,1
SAMPLE 489,1
SAMPLE 490,13
SAMPLE 491,13
SAMPLE 492,13
SAMPLE 493,13
SAMPLE 494,13
SAMPLE 495,13
SAMPLE 496,13
SAMPLE 497,13
SAMPLE 498,13
SAMPLE 499,13
SAMPLE 500,13
SAMPLE 501,1
SAMPLE 502,13
SAMPLE 503,13
SAMPLE 504,13
SAMPLE 505,13
SAMPLE 506,13
SAMPLE 507,13
SAMPLE 508,13
SAMPLE 509,13
SAMPLE 510,13
SAMPLE 511,13
SAMPLE 512,13
SAMPLE 513,13
SAMPLE 514,13
SAMPLE 515,13
SAMPLE 516,13
SAMPLE 517,13
SAMPLE 518,13
SAMPLE 519,13
SAMPLE 520,13
SAMPLE 521,13
SAMPLE 522,13
SAMPLE 523,13
SAMPLE 524,13
SAMPLE 525,13
SAMPLE 526,13
SAMPLE 527,13
SAMPLE 528,1
SAMPLE 529,13
SAMPLE 530,1
SAMPLE 531,13
SAMPLE 532,13
SAMPLE 533,13
SAMPLE 534,13
SAMPLE 535,13
SAMPLE 536,1
SAMPLE 537,13
SAMPLE 538,13
SAMPLE 539,13
SAMPLE 540,13
SAMPLE 541,13
SAMPLE 542,13
SAMPLE 543,13
SAMPLE 544,13
SAMPLE 545,13
SAMPLE 546,13
SAMPLE 547,13
SAMPLE 548,13
SAMPLE 549,13
SAMPLE 550,13
SAMPLE 551,13
SAMPLE 552,13
SAMPLE 553,13
SAMPLE 554,13
SAMPLE 555,13
SAMPLE 556,13
SAMPLE 557,13
SAMPLE 558,13
SAMPLE 559,13
SAMPLE 560,13
SAMPLE 561,13
SAMPLE 562,1
SAMPLE 563,13
SAMPLE 564,13
SAMPLE 565,13
SAMPLE 566,13
SAMPLE 567,13
SAMPLE 568,4
SAMPLE 569,4
SAMPLE 570,4
SAMPLE 571,9
SAMPLE 572,7
SAMPLE 573,13
SAMPLE 574,13
SAMPLE 575,13
SAMPLE 576,13
SAMPLE 577,13
SAMPLE 578,13
SAMPLE 579,13
SAMPLE 580,13
SAMPLE 581,1
SAMPLE 582,13
SAMPLE 583,13
SAMPLE 584,13
SAMPLE 585,13
SAMPLE 586,13
SAMPLE 587,1
SAMPLE 588,13
SAMPLE 589,4
SAMPLE 590,4
SAMPLE 591,4
SAMPLE 592,4
SAMPLE 593,4
SAMPLE 594,4
SAMPLE 595,4
SAMPLE 596,4
SAMPLE 597,4
SAMPLE 598,4
SAMPLE 599,4
SAMPLE 600,4
SAMPLE 601,4
SAMPLE 602,4
SAMPLE 603,4
SAMPLE 604,4
SAMPLE 605,4
SAMPLE 606,4
SAMPLE 607,4
SAMPLE 608,4
SAMPLE 609,5
SAMPLE 610,2
SAMPLE 611,13
SAMPLE 612,13
SAMPLE 613,1
SAMPLE 614,9
SAMPLE 615,13
SAMPLE 616,13
SAMPLE 617,13
SAMPLE 618,3
SAMPLE 619,3
SAMPLE 620,3
SAMPLE 621,3
SAMPLE 622,3
SAMPLE 623,3
SAMPLE 624,3
SAMPLE 625,3
SAMPLE 626,3
SAMPLE 627,3
SAMPLE 628,3
SAMPLE 629,3
SAMPLE 630,3
SAMPLE 631,3
SAMPLE 632,3
SAMPLE 633,3
SAMPLE 634,3
SAMPLE 635,3
SAMPLE 636,14
SAMPLE 637,14
SAMPLE 638,4
SAMPLE 639,4
SAMPLE 640,4
SAMPLE 641,4
SAMPLE 642,13
SAMPLE 643,2
SAMPLE 644,11
SAMPLE 645,9
SAMPLE 646,10
SAMPLE 647,11
