sample,cluster
SAMPLE 1248,4
SAMPLE 1249,4
SAMPLE 1250,4
SAMPLE 1251,14
SAMPLE 1252,12
SAMPLE 1253,12
SAMPLE 1254,12
SAMPLE 1255,12
SAMPLE 1256,4
SAMPLE 1257,4
SAMPLE 1258,4
SAMPLE 1259,9
SAMPLE 1260,5
SAMPLE 1261,5
SAMPLE 1262,9
SAMPLE 1263,11
SAMPLE 1264,12
SAMPLE 1265,6
SAMPLE 1266,2
SAMPLE 1267,5
SAMPLE 1268,1
SAMPLE 1269,4
SAMPLE 1270,2
SAMPLE 1271,2
SAMPLE 1272,2
SAMPLE 1273,2
SAMPLE 1274,2
SAMPLE 1275,2
SAMPLE 1276,10
SAMPLE 1277,10
SAMPLE 1278,7
SAMPLE 1279,7
SAMPLE 1280,6
SAMPLE 1281,12
SAMPLE 1282,4
SAMPLE 1283,4
SAMPLE 1284,7
SAMPLE 1285,5
SAMPLE 1286,5
SAMPLE 1287,12
SAMPLE 1288,4
SAMPLE 1289,5
SAMPLE 1290,5
SAMPLE 1291,4
SAMPLE 1292,4
SAMPLE 1293,4
SAMPLE 1294,4
SAMPLE 1295,2
SAMPLE 1296,2
SAMPLE 1297,2
SAMPLE 1298,2
SAMPLE 1299,2
SAMPLE 1300,2
SAMPLE 1301,2
SAMPLE 1302,2
SAMPLE 1303,2
SAMPLE 1304,2
SAMPLE 1305,2
SAMPLE 1306,2
SAMPLE 1307,2
SAMPLE 1308,2
SAMPLE 1309,2
SAMPLE 1310,2
SAMPLE 1311,2
SAMPLE 1312,2
SAMPLE 1313,2
SAMPLE 1314,2
SAMPLE 1315,2
SAMPLE 1316,6
SAMPLE 1317,6
SAMPLE 1318,6
SAMPLE 1319,6
SAMPLE 1320,6
SAMPLE 1321,6
SAMPLE 1322,6
SAMPLE 1323,6
SAMPLE 1324,6
SAMPLE 1325,11
SAMPLE 1326,11
SAMPLE 1327,4
SAMPLE 1328,11
SAMPLE 1329,4
SAMPLE 1330,4
SAMPLE 1331,4
SAMPLE 1332,4
SAMPLE 1333,4
SAMPLE 1334,4
SAMPLE 1335,4
SAMPLE 1336,1
SAMPLE 1337,4
SAMPLE 1338,5
SAMPLE 1339,2
SAMPLE 1340,6
SAMPLE 1341,6
SAMPLE 1342,6
SAMPLE 1343,4
SAMPLE 1344,4
SAMPLE 1345,6
SAMPLE 1346,6
SAMPLE 1347,3
SAMPLE 1348,5
SAMPLE 1349,4
SAMPLE 1350,6
SAMPLE 1351,2
SAMPLE 1352,14
SAMPLE 1353,12
SAMPLE 1354,11
SAMPLE 1355,3
SAMPLE 1356,12
SAMPLE 1357,12
SAMPLE 1358,12
SAMPLE 1359,8
SAMPLE 1360,12
SAMPLE 1361,12
SAMPLE 1362,12
SAMPLE 1363,12
SAMPLE 1364,12
SAMPLE 1365,12
SAMPLE 1366,12
SAMPLE 1367,12
SAMPLE 1368,12
SAMPLE 1369,12
SAMPLE 1370,12
SAMPLE 1371,12
SAMPLE 1372,12
SAMPLE 1373,12
SAMPLE 1374,8
SAMPLE 1375,8
SAMPLE 1376,12
SAMPLE 1377,12
SAMPLE 1378,12
SAMPLE 1379,12
SAMPLE 1380,12
SAMPLE 1381,12
SAMPLE 1382,12
SAMPLE 1383,12
SAMPLE 1384,12
SAMPLE 1385,12
SAMPLE 1386,4
SAMPLE 1387,2
SAMPLE 1388,5
SAMPLE 1389,2
SAMPLE 1390,4
SAMPLE 1391,4
SAMPLE 1392,4
SAMPLE 1393,4
SAMPLE 1394,6
SAMPLE 1395,4
SAMPLE 1396,4
SAMPLE 1397,2
SAMPLE 1398,5
SAMPLE 1399,4
SAMPLE 1400,4
SAMPLE 1401,2
SAMPLE 1402,11
SAMPLE 1403,5
SAMPLE 1404,2
SAMPLE 1405,4
SAMPLE 1406,4
SAMPLE 1407,4
SAMPLE 1408,4
SAMPLE 1409,5
SAMPLE 1410,4
SAMPLE 1411,4
SAMPLE 1412,10
SAMPLE 1413,13
SAMPLE 1414,13
SAMPLE 1415,13
SAMPLE 1416,1
SAMPLE 1417,13
SAMPLE 1418,13
SAMPLE 1419,4
SAMPLE 1420,4
SAMPLE 1421,4
SAMPLE 1422,4
SAMPLE 1423,4
SAMPLE 1424,4
SAMPLE 1425,5
SAMPLE 1426,5
SAMPLE 1427,5
SAMPLE 1428,5
SAMPLE 1429,5
SAMPLE 1430,11
SAMPLE 1431,4
SAMPLE 1432,4
SAMPLE 1433,12
SAMPLE 1434,3
SAMPLE 1435,4
SAMPLE 1436,4
SAMPLE 1437,4
SAMPLE 1438,4
SAMPLE 1439,4
SAMPLE 1440,1
SAMPLE 1441,4
SAMPLE 1442,5
SAMPLE 1443,5
SAMPLE 1444,6
SAMPLE 1445,4
SAMPLE 1446,4
SAMPLE 1447,13
SAMPLE 1448,13
SAMPLE 1449,4
SAMPLE 1450,4
SAMPLE 1451,4
SAMPLE 1452,4
SAMPLE 1453,4
SAMPLE 1454,4
SAMPLE 1455,11
SAMPLE 1456,11
SAMPLE 1457,11
SAMPLE 1458,11
SAMPLE 1459,11
SAMPLE 1460,11
SAMPLE 1461,11
SAMPLE 1462,4
SAMPLE 1463,11
SAMPLE 1464,4
SAMPLE 1465,4
SAMPLE 1466,4
SAMPLE 1467,4
SAMPLE 1468,4
SAMPLE 1469,4
SAMPLE 1470,4
SAMPLE 1471,4
SAMPLE 1472,4
SAMPLE 1473,4
SAMPLE 1474,4
SAMPLE 1475,4
SAMPLE 1476,4
SAMPLE 1477,4
SAMPLE 1478,4
SAMPLE 1479,4
SAMPLE 1480,4
SAMPLE 1481,4
SAMPLE 1482,4
SAMPLE 1483,4
SAMPLE 1484,4
SAMPLE 1485,4
SAMPLE 1486,4
SAMPLE 1487,4
SAMPLE 1488,4
SAMPLE 1489,12
SAMPLE 1490,8
SAMPLE 1491,3
SAMPLE 1492,5
SAMPLE 1493,5
SAMPLE 1494,5
SAMPLE 1495,5
SAMPLE 1496,5
SAMPLE 1497,5
SAMPLE 1498,5
SAMPLE 1499,5
SAMPLE 1500,5
SAMPLE 1501,5
SAMPLE 1502,5
SAMPLE 1503,5
SAMPLE 1504,5
SAMPLE 1505,5
SAMPLE 1506,5
SAMPLE 1507,5
SAMPLE 1508,5
SAMPLE 1509,5
SAMPLE 1510,5
SAMPLE 1511,5
SAMPLE 1512,5
SAMPLE 1513,7
SAMPLE 1514,4
SAMPLE 1515,3
SAMPLE 1516,5
SAMPLE 1517,5
SAMPLE 1518,5
SAMPLE 1519,5
SAMPLE 1520,5
SAMPLE 1521,5
SAMPLE 1522,5
SAMPLE 1523,13
SAMPLE 1524,4
SAMPLE 1525,13
SAMPLE 1526,2
SAMPLE 1527,4
SAMPLE 1528,4
SAMPLE 1529,4
SAMPLE 1530,4
SAMPLE 1531,4
SAMPLE 1532,4
SAMPLE 1533,4
SAMPLE 1534,11
SAMPLE 1535,4
SAMPLE 1536,11
SAMPLE 1537,11
SAMPLE 1538,4
SAMPLE 1539,4
SAMPLE 1540,4
SAMPLE 1541,11
SAMPLE 1542,4
SAMPLE 1543,11
SAMPLE 1544,11
SAMPLE 1545,11
SAMPLE 1546,11
SAMPLE 1547,11
SAMPLE 1548,11
SAMPLE 1549,4
SAMPLE 1550,11
SAMPLE 1551,11
SAMPLE 1552,4
SAMPLE 1553,5
SAMPLE 1554,5
SAMPLE 1555,5
SAMPLE 1556,5
SAMPLE 1557,5
SAMPLE 1558,5
SAMPLE 1559,5
SAMPLE 1560,5
SAMPLE 1561,5
SAMPLE 1562,5
SAMPLE 1563,5
SAMPLE 1564,5
SAMPLE 1565,5
SAMPLE 1566,5
SAMPLE 1567,5
SAMPLE 1568,5
SAMPLE 1569,5
SAMPLE 1570,5
SAMPLE 1571,5
SAMPLE 1572,5
SAMPLE 1573,5
SAMPLE 1574,5
SAMPLE 1575,5
SAMPLE 1576,5
SAMPLE 1577,6
SAMPLE 1578,11
SAMPLE 1579,12
SAMPLE 1580,2
SAMPLE 1581,2
SAMPLE 1582,12
SAMPLE 1583,2
SAMPLE 1584,4
SAMPLE 1585,4
SAMPLE 1586,4
SAMPLE 1587,6
SAMPLE 1588,4
SAMPLE 1589,4
SAMPLE 1590,4
SAMPLE 1591,4
SAMPLE 1592,4
SAMPLE 1593,4
SAMPLE 1594,4
SAMPLE 1595,11
SAMPLE 1596,4
SAMPLE 1597,4
SAMPLE 1598,6
SAMPLE 1599,5
SAMPLE 1600,5
SAMPLE 1601,5
SAMPLE 1602,5
SAMPLE 1603,5
SAMPLE 1604,14
SAMPLE 1605,5
SAMPLE 1606,5
SAMPLE 1607,5
SAMPLE 1608,11
SAMPLE 1609,11
SAMPLE 1610,4
SAMPLE 1611,11
SAMPLE 1612,6
SAMPLE 1613,6
SAMPLE 1614,6
SAMPLE 1615,6
SAMPLE 1616,6
SAMPLE 1617,6
SAMPLE 1618,6
SAMPLE 1619,4
SAMPLE 1620,4
SAMPLE 1621,4
SAMPLE 1622,4
SAMPLE 1623,4
SAMPLE 1624,4
SAMPLE 1625,5
SAMPLE 1626,12
SAMPLE 1627,7
SAMPLE 1628,14
SAMPLE 1629,4
SAMPLE 1630,2
SAMPLE 1631,6
SAMPLE 1632,4
SAMPLE 1633,11
SAMPLE 1634,11
SAMPLE 1635,7
SAMPLE 1636,7
SAMPLE 1637,11
SAMPLE 1638,7
SAMPLE 1639,11
SAMPLE 1640,11
SAMPLE 1641,14
SAMPLE 1642,14
SAMPLE 1643,14
SAMPLE 1644,14
SAMPLE 1645,4
SAMPLE 1646,7
SAMPLE 1647,7
SAMPLE 1648,14
SAMPLE 1649,14
SAMPLE 1650,4
SAMPLE 1651,4
SAMPLE 1652,4
SAMPLE 1653,14
SAMPLE 1654,14
SAMPLE 1655,14
SAMPLE 1656,14
SAMPLE 1657,5
SAMPLE 1658,5
SAMPLE 1659,11
SAMPLE 1660,6
SAMPLE 1661,4
SAMPLE 1662,4
SAMPLE 1663,4
SAMPLE 1664,12
SAMPLE 1665,7
SAMPLE 1666,2
SAMPLE 1667,1
SAMPLE 1668,4
SAMPLE 1669,6
SAMPLE 1670,4
SAMPLE 1671,11
SAMPLE 1672,4
SAMPLE 1673,13
SAMPLE 1674,3
SAMPLE 1675,3
SAMPLE 1676,14
SAMPLE 1677,5
SAMPLE 1678,4
SAMPLE 1679,6
SAMPLE 1680,4
SAMPLE 1681,14
SAMPLE 1682,12
SAMPLE 1683,4
SAMPLE 1684,6
SAMPLE 1685,6
SAMPLE 1686,3
SAMPLE 1687,4
SAMPLE 1688,2
SAMPLE 1689,2
SAMPLE 1690,4
SAMPLE 1691,2
SAMPLE 1692,4
SAMPLE 1693,3
SAMPLE 1694,5
SAMPLE 1695,6
SAMPLE 1696,4
SAMPLE 1697,4
SAMPLE 1698,5
SAMPLE 1699,4
SAMPLE 1700,5
SAMPLE 1701,1
SAMPLE 1702,5
SAMPLE 1703,4
SAMPLE 1704,4
SAMPLE 1705,4
SAMPLE 1706,4
SAMPLE 1707,4
SAMPLE 1708,5
SAMPLE 1709,12
SAMPLE 1710,4
SAMPLE 1711,4
SAMPLE 1712,1
SAMPLE 1713,6
SAMPLE 1714,4
SAMPLE 1715,4
SAMPLE 1716,3
SAMPLE 1717,3
SAMPLE 1718,3
SAMPLE 1719,4
SAMPLE 1720,3
SAMPLE 1721,3
SAMPLE 1722,4
SAMPLE 1723,4
SAMPLE 1724,3
SAMPLE 1725,4
SAMPLE 1726,3
SAMPLE 1727,3
SAMPLE 1728,4
SAMPLE 1729,3
SAMPLE 1730,4
SAMPLE 1731,11
SAMPLE 1732,10
SAMPLE 1733,12
SAMPLE 1734,4
SAMPLE 1735,13
SAMPLE 1736,5
SAMPLE 1737,2
SAMPLE 1738,4
SAMPLE 1739,3
SAMPLE 1740,3
SAMPLE 1741,4
SAMPLE 1742,4
SAMPLE 1743,4
SAMPLE 1744,3
SAMPLE 1745,3
SAMPLE 1746,4
SAMPLE 1747,3
SAMPLE 1748,4
SAMPLE 1749,3
SAMPLE 1750,3
SAMPLE 1751,3
SAMPLE 1752,6
SAMPLE 1753,6
SAMPLE 1754,14
SAMPLE 1755,4
SAMPLE 1756,4
SAMPLE 1757,6
SAMPLE 1758,6
SAMPLE 1759,4
SAMPLE 1760,11
SAMPLE 1761,7
SAMPLE 1762,14
SAMPLE 1763,4
SAMPLE 1764,7
SAMPLE 1765,14
SAMPLE 1766,4
SAMPLE 1767,6
SAMPLE 1768,6
SAMPLE 1769,6
SAMPLE 1770,6
SAMPLE 1771,6
SAMPLE 1772,6
SAMPLE 1773,6
SAMPLE 1774,11
SAMPLE 1775,3
SAMPLE 1776,6
SAMPLE 1777,4
SAMPLE 1778,3
SAMPLE 1779,3
SAMPLE 1780,3
SAMPLE 1781,3
SAMPLE 1782,3
SAMPLE 1783,3
SAMPLE 1784,3
SAMPLE 1785,4
SAMPLE 1786,4
SAMPLE 1787,3
SAMPLE 1788,3
SAMPLE 1789,3
SAMPLE 1790,4
SAMPLE 1791,4
SAMPLE 1792,3
SAMPLE 1793,4
SAMPLE 1794,3
SAMPLE 1795,7
SAMPLE 1796,5
SAMPLE 1797,12
SAMPLE 1798,6
SAMPLE 1799,7
SAMPLE 1800,14
SAMPLE 1801,14
SAMPLE 1802,14
SAMPLE 1803,14
SAMPLE 1804,14
SAMPLE 1805,14
SAMPLE 1806,14
SAMPLE 1807,14
SAMPLE 1808,7
SAMPLE 1809,7
SAMPLE 1810,14
SAMPLE 1811,14
SAMPLE 1812,14
SAMPLE 1813,11
SAMPLE 1814,7
SAMPLE 1815,14
SAMPLE 1816,2
SAMPLE 1817,11
SAMPLE 1818,7
SAMPLE 1819,14
SAMPLE 1820,14
SAMPLE 1821,7
SAMPLE 1822,14
SAMPLE 1823,14
SAMPLE 1824,14
SAMPLE 1825,14
SAMPLE 1826,14
SAMPLE 1827,12
SAMPLE 1828,12
SAMPLE 1829,5
SAMPLE 1830,12
SAMPLE 1831,12
SAMPLE 1832,3
SAMPLE 1833,3
SAMPLE 1834,3
SAMPLE 1835,12
SAMPLE 1836,2
SAMPLE 1837,4
SAMPLE 1838,5
SAMPLE 1839,4
SAMPLE 1840,2
SAMPLE 1841,6
SAMPLE 1842,10
SAMPLE 1843,10
SAMPLE 1844,14
SAMPLE 1845,12
SAMPLE 1846,13
SAMPLE 1847,12
SAMPLE 1848,3
SAMPLE 1849,3
SAMPLE 1850,14
SAMPLE 1851,4
SAMPLE 1852,4
SAMPLE 1853,4
SAMPLE 1854,4
SAMPLE 1855,14
SAMPLE 1856,4
SAMPLE 1857,4
SAMPLE 1858,4
SAMPLE 1859,5
SAMPLE 1860,4
SAMPLE 1861,3
SAMPLE 1862,3
SAMPLE 1863,3
SAMPLE 1864,10
SAMPLE 1865,13
SAMPLE 1866,5
SAMPLE 1867,2
SAMPLE 1868,4
SAMPLE 1869,5
SAMPLE 1870,5
SAMPLE 1871,1
SAMPLE 1872,5
SAMPLE 1873,5
SAMPLE 1874,5
SAMPLE 1875,5
SAMPLE 1876,5
SAMPLE 1877,5
SAMPLE 1878,5
SAMPLE 1879,4
SAMPLE 1880,4
SAMPLE 1881,4
SAMPLE 1882,4
SAMPLE 1883,3
SAMPLE 1884,12
SAMPLE 1885,3
SAMPLE 1886,9
SAMPLE 1887,9
SAMPLE 1888,11
SAMPLE 1889,1
SAMPLE 1890,1
SAMPLE 1891,1
SAMPLE 1892,13
SAMPLE 1893,13
SAMPLE 1894,1
SAMPLE 1895,12
SAMPLE 1896,12
SAMPLE 1897,12
SAMPLE 1898,12
SAMPLE 1899,12
SAMPLE 1900,12
SAMPLE 1901,12
SAMPLE 1902,12
SAMPLE 1903,12
SAMPLE 1904,12
SAMPLE 1905,6
SAMPLE 1906,11
SAMPLE 1907,4
SAMPLE 1908,13
SAMPLE 1909,6
SAMPLE 1910,12
SAMPLE 1911,12
SAMPLE 1912,6
SAMPLE 1913,14
SAMPLE 1914,14
SAMPLE 1915,4
SAMPLE 1916,4
SAMPLE 1917,4
SAMPLE 1918,4
SAMPLE 1919,4
SAMPLE 1920,4
SAMPLE 1921,13
SAMPLE 1922,2
SAMPLE 1923,2
SAMPLE 1924,6
SAMPLE 1925,4
SAMPLE 1926,12
SAMPLE 1927,4
SAMPLE 1928,12
SAMPLE 1929,4
SAMPLE 1930,5
SAMPLE 1931,4
SAMPLE 1932,13
SAMPLE 1933,4
SAMPLE 1934,4
SAMPLE 1935,14
SAMPLE 1936,4
SAMPLE 1937,12
SAMPLE 1938,4
SAMPLE 1939,4
SAMPLE 1940,4
SAMPLE 1941,4
SAMPLE 1942,4
SAMPLE 1943,4
SAMPLE 1944,4
SAMPLE 1945,4
SAMPLE 1946,4
SAMPLE 1947,4
SAMPLE 1948,4
SAMPLE 1949,4
SAMPLE 1950,4
SAMPLE 1951,4
SAMPLE 1952,4
SAMPLE 1953,4
SAMPLE 1954,4
SAMPLE 1955,4
SAMPLE 1956,4
SAMPLE 1957,10
SAMPLE 1958,6
SAMPLE 1959,14
SAMPLE 1960,14
SAMPLE 1961,14
SAMPLE 1962,11
SAMPLE 1963,14
SAMPLE 1964,11
SAMPLE 1965,11
SAMPLE 1966,5
SAMPLE 1967,4
SAMPLE 1968,6
SAMPLE 1969,13
SAMPLE 1970,11
SAMPLE 1971,14
SAMPLE 1972,14
SAMPLE 1973,13
SAMPLE 1974,3
SAMPLE 1975,4
SAMPLE 1976,3
SAMPLE 1977,3
SAMPLE 1978,4
SAMPLE 1979,4
SAMPLE 1980,2
SAMPLE 1981,2
SAMPLE 1982,2
SAMPLE 1983,2
SAMPLE 1984,2
SAMPLE 1985,2
SAMPLE 1986,2
SAMPLE 1987,2
SAMPLE 1988,2
SAMPLE 1989,2
SAMPLE 1990,2
SAMPLE 1991,2
SAMPLE 1992,12
SAMPLE 1993,3
SAMPLE 1994,4
SAMPLE 1995,14
SAMPLE 1996,11
SAMPLE 1997,4
SAMPLE 1998,4
SAMPLE 1999,6
SAMPLE 2000,1
SAMPLE 2001,2
SAMPLE 2002,4
SAMPLE 2003,11
SAMPLE 2004,11
SAMPLE 2005,3
SAMPLE 2006,4
SAMPLE 2007,4
SAMPLE 2008,4
SAMPLE 2009,4
SAMPLE 2010,11
SAMPLE 2011,4
SAMPLE 2012,11
SAMPLE 2013,11
SAMPLE 2014,12
SAMPLE 2015,3
SAMPLE 2016,3
SAMPLE 2017,3
SAMPLE 2018,4
SAMPLE 2019,14
SAMPLE 2020,4
SAMPLE 2021,3
SAMPLE 2022,11
SAMPLE 2023,7
SAMPLE 2024,4
SAMPLE 2025,12
SAMPLE 2026,12
SAMPLE 2027,2
SAMPLE 2028,2
SAMPLE 2029,2
SAMPLE 2030,4
SAMPLE 2031,12
SAMPLE 2032,12
SAMPLE 2033,12
SAMPLE 2034,12
SAMPLE 2035,12
SAMPLE 2036,12
SAMPLE 2037,14
SAMPLE 2038,3
SAMPLE 2039,4
SAMPLE 2040,4
SAMPLE 2041,11
SAMPLE 2042,4
SAMPLE 2043,4
SAMPLE 2044,4
SAMPLE 2045,4
SAMPLE 2046,11
SAMPLE 2047,4
SAMPLE 2048,4
SAMPLE 2049,4
SAMPLE 2050,3
SAMPLE 2051,11
SAMPLE 2052,12
SAMPLE 2053,12
SAMPLE 2054,12
SAMPLE 2055,3
SAMPLE 2056,3
SAMPLE 2057,4
SAMPLE 2058,6
SAMPLE 2059,12
SAMPLE 2060,4
SAMPLE 2061,13
SAMPLE 2062,11
SAMPLE 2063,11
SAMPLE 2064,12
SAMPLE 2065,14
SAMPLE 2066,12
SAMPLE 2067,3
SAMPLE 2068,4
SAMPLE 2069,6
SAMPLE 2070,2
SAMPLE 2071,2
SAMPLE 2072,4
SAMPLE 2073,11
SAMPLE 2074,4
SAMPLE 2075,4
SAMPLE 2076,4
SAMPLE 2077,5
SAMPLE 2078,2
SAMPLE 2079,6
SAMPLE 2080,6
SAMPLE 2081,2
SAMPLE 2082,6
SAMPLE 2083,5
SAMPLE 2084,6
SAMPLE 2085,6
SAMPLE 2086,6
SAMPLE 2087,2
SAMPLE 2088,6
SAMPLE 2089,6
SAMPLE 2090,6
SAMPLE 2091,6
SAMPLE 2092,6
SAMPLE 2093,6
SAMPLE 2094,6
SAMPLE 2095,6
SAMPLE 2096,6
SAMPLE 2097,6
SAMPLE 2098,6
SAMPLE 2099,6
SAMPLE 2100,6
SAMPLE 2101,6
SAMPLE 2102,2
SAMPLE 2103,6
SAMPLE 2104,5
SAMPLE 2105,6
SAMPLE 2106,6
SAMPLE 2107,6
SAMPLE 2108,5
SAMPLE 2109,5
SAMPLE 2110,6
SAMPLE 2111,5
SAMPLE 2112,6
SAMPLE 2113,2
SAMPLE 2114,6
SAMPLE 2115,6
SAMPLE 2116,6
SAMPLE 2117,5
SAMPLE 2118,6
SAMPLE 2119,6
SAMPLE 2120,6
SAMPLE 2121,2
SAMPLE 2122,6
SAMPLE 2123,6
SAMPLE 2124,6
SAMPLE 2125,5
SAMPLE 2126,6
SAMPLE 2127,6
SAMPLE 2128,6
SAMPLE 2129,4
SAMPLE 2130,6
SAMPLE 2131,6
SAMPLE 2132,6
SAMPLE 2133,6
SAMPLE 2134,6
SAMPLE 2135,5
SAMPLE 2136,6
SAMPLE 2137,6
SAMPLE 2138,5
SAMPLE 2139,3
SAMPLE 2140,4
SAMPLE 2141,13
SAMPLE 2142,3
SAMPLE 2143,3
SAMPLE 2144,3
SAMPLE 2145,3
SAMPLE 2146,12
SAMPLE 2147,3
SAMPLE 2148,4
SAMPLE 2149,7
SAMPLE 2150,11
SAMPLE 2151,11
SAMPLE 2152,14
SAMPLE 2153,7
SAMPLE 2154,2
SAMPLE 2155,2
SAMPLE 2156,2
SAMPLE 2157,2
SAMPLE 2158,2
SAMPLE 2159,2
SAMPLE 2160,2
SAMPLE 2161,2
SAMPLE 2162,6
SAMPLE 2163,6
SAMPLE 2164,6
SAMPLE 2165,11
SAMPLE 2166,4
SAMPLE 2167,11
SAMPLE 2168,4
SAMPLE 2169,3
SAMPLE 2170,7
SAMPLE 2171,14
SAMPLE 2172,3
SAMPLE 2173,12
SAMPLE 2174,3
SAMPLE 2175,3
SAMPLE 2176,4
SAMPLE 2177,4
SAMPLE 2178,4
SAMPLE 2179,8
SAMPLE 2180,3
SAMPLE 2181,3
SAMPLE 2182,5
SAMPLE 2183,4
SAMPLE 2184,12
SAMPLE 2185,12
SAMPLE 2186,10
SAMPLE 2187,2
SAMPLE 2188,6
SAMPLE 2189,6
SAMPLE 2190,6
SAMPLE 2191,6
SAMPLE 2192,6
SAMPLE 2193,6
SAMPLE 2194,6
SAMPLE 2195,6
SAMPLE 2196,6
SAMPLE 2197,6
SAMPLE 2198,4
SAMPLE 2199,14
SAMPLE 2200,3
SAMPLE 2201,12
SAMPLE 2202,3
SAMPLE 2203,3
SAMPLE 2204,3
SAMPLE 2205,6
SAMPLE 2206,13
SAMPLE 2207,4
SAMPLE 2208,4
SAMPLE 2209,11
SAMPLE 2210,12
SAMPLE 2211,3
SAMPLE 2212,4
SAMPLE 2213,3
SAMPLE 2214,2
SAMPLE 2215,9
SAMPLE 2216,12
SAMPLE 2217,4
SAMPLE 2218,3
SAMPLE 2219,11
SAMPLE 2220,4
SAMPLE 2221,3
SAMPLE 2222,11
SAMPLE 2223,11
SAMPLE 2224,11
SAMPLE 2225,2
SAMPLE 2226,1
SAMPLE 2227,6
SAMPLE 2228,12
SAMPLE 2229,4
SAMPLE 2230,5
SAMPLE 2231,3
SAMPLE 2232,3
SAMPLE 2233,12
SAMPLE 2234,6
SAMPLE 2235,12
SAMPLE 2236,12
SAMPLE 2237,5
SAMPLE 2238,6
SAMPLE 2239,4
SAMPLE 2240,12
SAMPLE 2241,12
SAMPLE 2242,12
SAMPLE 2243,12
SAMPLE 2244,12
SAMPLE 2245,12
SAMPLE 2246,12
SAMPLE 2247,4
SAMPLE 2248,3
SAMPLE 2249,8
SAMPLE 2250,5
SAMPLE 2251,5
SAMPLE 2252,4
SAMPLE 2253,12
SAMPLE 2254,3
SAMPLE 2255,14
SAMPLE 2256,3
SAMPLE 2257,5
SAMPLE 2258,4
SAMPLE 2259,3
SAMPLE 2260,12
SAMPLE 2261,5
SAMPLE 2262,13
SAMPLE 2263,4
SAMPLE 2264,12
SAMPLE 2265,11
SAMPLE 2266,4
SAMPLE 2267,4
SAMPLE 2268,12
SAMPLE 2269,3
SAMPLE 2270,6
SAMPLE 2271,6
SAMPLE 2272,6
SAMPLE 2273,13
SAMPLE 2274,3
SAMPLE 2275,3
SAMPLE 2276,3
SAMPLE 2277,3
SAMPLE 2278,3
SAMPLE 2279,3
SAMPLE 2280,3
SAMPLE 2281,4
SAMPLE 2282,3
SAMPLE 2283,4
SAMPLE 2284,3
SAMPLE 2285,2
SAMPLE 2286,3
SAMPLE 2287,7
SAMPLE 2288,13
SAMPLE 2289,4
SAMPLE 2290,12
SAMPLE 2291,12
SAMPLE 2292,14
SAMPLE 2293,3
SAMPLE 2294,3
SAMPLE 2295,3
SAMPLE 2296,12
SAMPLE 2297,4
SAMPLE 2298,4
SAMPLE 2299,12
SAMPLE 2300,5
SAMPLE 2301,3
SAMPLE 2302,4
SAMPLE 2303,2
SAMPLE 2304,12
SAMPLE 2305,5
SAMPLE 2306,3
SAMPLE 2307,3
SAMPLE 2308,3
SAMPLE 2309,3
SAMPLE 2310,3
SAMPLE 2311,3
SAMPLE 2312,3
SAMPLE 2313,3
SAMPLE 2314,12
SAMPLE 2315,12
SAMPLE 2316,12
SAMPLE 2317,12
SAMPLE 2318,12
SAMPLE 2319,5
SAMPLE 2320,3
SAMPLE 2321,3
SAMPLE 2322,4
SAMPLE 2323,3
SAMPLE 2324,3
SAMPLE 2325,4
SAMPLE 2326,4
SAMPLE 2327,4
SAMPLE 2328,5
SAMPLE 2329,5
SAMPLE 2330,4
SAMPLE 2331,3
SAMPLE 2332,3
SAMPLE 2333,3
SAMPLE 2334,3
SAMPLE 2335,4
SAMPLE 2336,4
SAMPLE 2337,14
SAMPLE 2338,7
SAMPLE 2339,12
SAMPLE 2340,12
SAMPLE 2341,12
SAMPLE 2342,12
SAMPLE 2343,12
SAMPLE 2344,3
SAMPLE 2345,4
SAMPLE 2346,9
SAMPLE 2347,4
SAMPLE 2348,11
SAMPLE 2349,12
SAMPLE 2350,2
SAMPLE 2351,12
SAMPLE 2352,5
SAMPLE 2353,13
SAMPLE 2354,2
SAMPLE 2355,2
SAMPLE 2356,3
SAMPLE 2357,7
SAMPLE 2358,3
SAMPLE 2359,11
SAMPLE 2360,4
SAMPLE 2361,3
SAMPLE 2362,6
SAMPLE 2363,12
SAMPLE 2364,4
SAMPLE 2365,11
SAMPLE 2366,3
SAMPLE 2367,4
SAMPLE 2368,5
SAMPLE 2369,5
SAMPLE 2370,5
SAMPLE 2371,3
SAMPLE 2372,4
SAMPLE 2373,5
SAMPLE 2374,5
SAMPLE 2375,5
SAMPLE 2376,5
SAMPLE 2377,5
SAMPLE 2378,5
SAMPLE 2379,5
SAMPLE 2380,5
SAMPLE 2381,5
SAMPLE 2382,5
SAMPLE 2383,5
SAMPLE 2384,4
SAMPLE 2385,4
SAMPLE 2386,5
SAMPLE 2387,5
SAMPLE 2388,5
SAMPLE 2389,3
SAMPLE 2390,3
SAMPLE 2391,6
SAMPLE 2392,12
SAMPLE 2393,12
SAMPLE 2394,4
SAMPLE 2395,2
SAMPLE 2396,4
SAMPLE 2397,12
SAMPLE 2398,5
SAMPLE 2399,5
SAMPLE 2400,5
SAMPLE 2401,5
SAMPLE 2402,5
SAMPLE 2403,5
SAMPLE 2404,5
SAMPLE 2405,5
SAMPLE 2406,5
SAMPLE 2407,5
SAMPLE 2408,5
SAMPLE 2409,3
SAMPLE 2410,6
SAMPLE 2411,13
SAMPLE 2412,4
SAMPLE 2413,4
